BOUNDARY_256_SURVIVAL,CORE_256_SURVIVAL,CORE_SHARE_OF_REMAINING_INCUMBENT,INTERMEDIATE_256_SURVIVAL,I_over_I0,area,arm,block,cx,cy,scaffold_cells,scaffold_mass_over_I0,size,time,track
0.07632994236599537,0.6998385727931721,0.7863627554185089,0.11380060910424213,0.8899691242634096,389,SHAM,L32_S990108,12.72293909885489,15.060312499362174,316,0.8037573932799874,32,2432,True
0.07623152694795562,0.6981171798284366,0.7867598714518349,0.11298325455022855,0.8873319613266206,390,SHAM,L32_S990108,12.74043063463399,15.061887745433161,316,0.8006367048850743,32,2560,True
0.07584892598112385,0.6962241206278452,0.7875549553181648,0.11195938303472128,0.8840324296436903,390,SHAM,L32_S990108,12.740831737852151,15.062033511503566,315,0.7961042088665803,32,2688,True
0.07549375034935521,0.6943343135882915,0.7882728740608375,0.11100183194775196,0.8808298958853986,390,SHAM,L32_S990108,12.74122623433271,15.062173853877482,314,0.7916626234266181,32,2816,True
0.07545112910433885,0.6940984585209935,0.788357606437834,0.11088646430451805,0.8804360519298505,390,SHAM,L32_S990108,12.741275073164427,15.062191038541169,314,0.7913009476192294,32,2832,True
0.0751630504293458,0.6924504900877989,0.7889217549461495,0.11010403508078562,0.8777175755979304,390,SHAM,L32_S990108,12.741613943260887,15.062309231439222,314,0.7888010283567146,32,2944,True
0.07510277091989537,0.6908909447255821,0.7890936507230941,0.10955628287811618,0.8755499985235936,391,SHAM,L32_S990108,12.75612003597676,15.053190322173489,314,0.7860092963958065,32,3072,True
0.07481039512051718,0.6890339980702335,0.7896307233012709,0.10875842954331827,0.8726028227340689,391,SHAM,L32_S990108,12.756551033808998,15.053278821539797,313,0.7817798392077704,32,3200,True
0.07453637521604337,0.6871880231440964,0.7901167097617694,0.10800537023479677,0.8697297685949367,391,SHAM,L32_S990108,12.756971849776907,15.053365396817217,313,0.7791247246188147,32,3328,True
0.0742791526839969,0.6853542006911906,0.790556169491548,0.10729328275742428,0.8669266361326117,391,SHAM,L32_S990108,12.75738254061056,15.053450246087799,311,0.7735284771738242,32,3456,True
0.07403737115658339,0.683533473505424,0.7909530967717059,0.106618797296893,0.8641896419589005,391,SHAM,L32_S990108,12.75778316592254,15.053533558156515,311,0.771000509381649,32,3584,True
0.0738098406088286,0.6817265886562592,0.7913110078670836,0.1059789317985722,0.86151536106366,391,SHAM,L32_S990108,12.758173794155244,15.053615510478632,311,0.7685240763502871,32,3712,True
0.07359550917275086,0.6799341320301044,0.7916330129340109,0.10537103742104467,0.8589006786239,391,SHAM,L32_S990108,12.758554505944549,15.053696268875791,310,0.7645949853614309,32,3840,True
0.07339344071676153,0.6781565565716908,0.791921875656477,0.1047927524424116,0.856342749730864,391,SHAM,L32_S990108,12.758925395569051,15.053775987128647,309,0.7607170622824602,32,3968,True
0.07320279688485205,0.6763942054394164,0.7921800628320266,0.10424196330347256,0.8538389656277411,391,SHAM,L32_S990108,12.759286571147529,15.053854807112623,309,0.7583930269459302,32,4096,True
0.07302282258684636,0.6746473310104796,0.7924097857534796,0.10371677162719893,0.8513869252245249,391,SHAM,L32_S990108,12.759638154401596,15.053932858709324,309,0.7561113775967582,32,4224,True
0.07285283417554383,0.6729161104908553,0.792613034882172,0.10321546623328966,0.8489844108996888,391,SHAM,L32_S990108,12.759980279992721,15.054010260015184,309,0.7538703929471174,32,4352,True
0.0726922097541191,0.6712006587744069,0.7927916089828727,0.10273649935231814,0.8466293678808441,391,SHAM,L32_S990108,12.760313094587422,15.054087117912443,308,0.7501671790098278,32,4480,True
0.07254038117775517,0.6695010390643241,0.792947139685319,0.10227846636475749,0.8443198866068368,391,SHAM,L32_S990108,12.760636755680729,15.054163528705411,306,0.7450005828872136,32,4608,True
0.0723968273938623,0.6678172716433949,0.7930811122871714,0.10184008848143511,0.8420541875186923,391,SHAM,L32_S990108,12.760951430270866,15.054239578545406,306,0.7428903330046758,32,4736,True
0.07226106887213682,0.6661493411507253,0.7931948834173858,0.10142019791134467,0.8398306079342068,391,SHAM,L32_S990108,12.76125729344784,15.054315344188662,306,0.7408143067673336,32,4864,True
0.0721326629094863,0.6644972026231596,0.7932896960979492,0.10101772511639831,0.8376475906490443,391,SHAM,L32_S990108,12.761554527081802,15.054390893642383,306,0.738771335696506,32,4992,True
0.07201119964730761,0.6628607865236875,0.7933666926341244,0.10063168782730046,0.8355036739982956,391,SHAM,L32_S990108,12.761843318599272,15.05446628676877,306,0.7367603231274985,32,5120,True
0.07189629867104375,0.6612400029350232,0.7934269256882185,0.10026118154773907,0.833397483153806,391,SHAM,L32_S990108,12.762123859827279,15.054541575811847,306,0.7347802376070661,32,5248,True
0.07178760608955705,0.659634745066469,0.7934713678275055,0.09990537132061966,0.8313277224766457,391,SHAM,L32_S990108,12.762396346000124,15.054616806010525,306,0.7328301070573591,32,5376,True
0.07177443936860677,0.6594351736065839,0.7934758583886554,0.09986188924508663,0.8310715022202773,391,SHAM,L32_S990108,12.762429850228203,15.054626207648585,306,0.7325884006751595,32,5392,True
0.0716847920127471,0.6580448921958795,0.7935009197852605,0.09956348456799112,0.8292931687766177,391,SHAM,L32_S990108,12.762660974796951,15.054692016196984,305,0.729408266331761,32,5504,True
0.0715875483596223,0.656470312142882,0.7935164176362139,0.09923480484451504,0.8272926653470194,391,SHAM,L32_S990108,12.762917945318017,15.05476723929945,305,0.7275203981805695,32,5632,True
0.07168926441774102,0.6552884222338675,0.7932159485794946,0.09913835830105523,0.8261160449526638,392,SHAM,L32_S990108,12.778953188665614,15.062468194387511,304,0.7241589831638378,32,5760,True
0.0713975477581348,0.6533159613090364,0.7935320687150392,0.09858776263435715,0.8233012717015283,391,SHAM,L32_S990108,12.792773561964394,15.073457435186876,304,0.7223291050370002,32,5888,True
0.0713160282421251,0.6517874127210225,0.7935084485185859,0.09829602105626163,0.8213994620194092,391,SHAM,L32_S990108,12.793040493383145,15.073549229753263,304,0.7205247360583563,32,6016,True
0.07144713690182525,0.6506444061924215,0.7931442383240642,0.09824399583276004,0.8203355389270067,392,SHAM,L32_S990108,12.810598307330688,15.076614371596298,304,0.7187451837689418,32,6144,True
0.07137307816911112,0.6491497223373887,0.7931014693433003,0.09797236994740728,0.8184951704539071,392,SHAM,L32_S990108,12.810873349947444,15.076709776065181,304,0.7169897878205415,32,6272,True
0.07130311768810708,0.6476692580687311,0.7930486188103797,0.09771053964912223,0.8166829154059605,392,SHAM,L32_S990108,12.811140635895558,15.076804952866796,304,0.715257917695722,32,6400,True
0.07123705626286085,0.646202848033631,0.7929862081847625,0.09745806159986893,0.8148979658963608,392,SHAM,L32_S990108,12.811400414896868,15.076899916668914,304,0.7135489706480278,32,6528,True
0.07117470614104082,0.6447503252240966,0.7929147278011023,0.09721451897731528,0.8131395503424528,392,SHAM,L32_S990108,12.811652930044248,15.076994678962619,304,0.7118623698323922,32,6656,True
0.07111589021950032,0.6433115215555931,0.7928346392456711,0.09697951939489277,0.8114069311699862,392,SHAM,L32_S990108,12.811898417812893,15.07708924842698,304,0.710197562609023,32,6784,True
0.07106044132008785,0.6418862683612108,0.7927463774972251,0.09675269303020421,0.8096994027115029,392,SHAM,L32_S990108,12.812137108138469,15.077183631224017,303,0.7070527073895572,32,6912,True
0.07081869012751231,0.6400148078348784,0.7929425911313791,0.09630539833740116,0.8071388962997919,391,SHAM,L32_S990108,12.824470799940489,15.089789757519206,302,0.7039305989832709,32,7040,True
0.07077078643490951,0.6386137360250999,0.7928362978933456,0.0960954205269196,0.8054799429869289,391,SHAM,L32_S990108,12.8246997596546,15.089886869823443,302,0.7023339867921238,32,7168,True
0.07072575650146495,0.6372257722092775,0.7927230742642409,0.09589257889355945,0.8038441076043018,391,SHAM,L32_S990108,12.824922588073752,15.089983826736692,301,0.6992538043952542,32,7296,True
0.07068346884368756,0.635850745820561,0.7926032630753199,0.09569658029039829,0.8022307949546469,391,SHAM,L32_S990108,12.825139488247947,15.090080625272341,298,0.6931924629874916,32,7424,True
0.07064379897991592,0.6344884875114408,0.7924771887578586,0.09550714706249519,0.8006394335538518,391,SHAM,L32_S990108,12.825350657059165,15.090177261121697,298,0.6916657713817359,32,7552,True
0.07060662900057156,0.6331388293372813,0.7923451585442683,0.09532401600652501,0.7990694743443779,391,SHAM,L32_S990108,12.825556285356999,15.09027372883618,297,0.6886546576409371,32,7680,True
0.07057184716933382,0.6318016049109828,0.7922074635709073,0.09514693741855453,0.7975203894988712,391,SHAM,L32_S990108,12.825756558082709,15.09037002198143,296,0.6856624490950947,32,7808,True
0.07053934755339288,0.6304766495348807,0.792064379891321,0.09497567422181401,0.7959916713100875,391,SHAM,L32_S990108,12.825951654399766,15.090466133281621,295,0.6826904216451687,32,7936,True
0.07050902967908354,0.6291638003105963,0.7919161694107211,0.09481000116499688,0.7944828311546767,391,SHAM,L32_S990108,12.826141747811501,15.090562054761529,294,0.6797381357440926,32,8064,True
0.07048079821119621,0.6278628962308017,0.7917630807487585,0.09464970408454262,0.7929933985265406,391,SHAM,L32_S990108,12.826327006275767,15.090657777853195,294,0.6783074998125168,32,8192,True
0.07045456265485275,0.6265737782574639,0.7916053500362343,0.0944945792255824,0.7915229201378989,391,SHAM,L32_S990108,12.826507592358794,15.090753293531709,294,0.6768926836265973,32,8320,True
0.07043023707626861,0.6252962893838742,0.7914432016546974,0.09434443261379431,0.7900709590739371,391,SHAM,L32_S990108,12.82668366337445,15.090848592396176,294,0.6754933743129887,32,8448,True
0.07040773984257949,0.624030274686766,0.7912768489217898,0.09419907947521508,0.7886370940045605,391,SHAM,L32_S990108,12.826855371473208,15.090943664797887,293,0.672606313544459,32,8576,True
0.07054722722506164,0.6232205057019418,0.7908734845158418,0.09424769293275446,0.7880154258597578,392,SHAM,L32_S990108,12.839734128756234,15.103339147696236,293,0.6712385904848975,32,8704,True
0.07052772681471488,0.6219790803236241,0.7907006292137738,0.09411085489904111,0.78661766203738,392,SHAM,L32_S990108,12.839910721208732,15.103446584491252,293,0.6698854461286449,32,8832,True
0.07050984892734005,0.6207486483409325,0.7905241218438045,0.09397832370704347,0.785236820975316,392,SHAM,L32_S990108,12.840083181642761,15.103553569872789,293,0.6685466063365811,32,8960,True
0.07049352614263198,0.6195290646980403,0.7903441385996341,0.09384994574288318,0.7838725365835553,392,SHAM,L32_S990108,12.840251647408492,15.103660098261926,293,0.6672218051217901,32,9088,True
0.07047869430015045,0.6183201864722084,0.7901608473448942,0.09372557427991773,0.7825244550522765,392,SHAM,L32_S990108,12.840416251143209,15.10376616389859,293,0.6659107843147445,32,9216,True
0.07046529232169552,0.617121872884909,0.7899744080653939,0.09360506910413516,0.7811922343107398,392,SHAM,L32_S990108,12.84057712096899,15.103871760930875,293,0.6646132932437968,32,9344,True
0.07045326204350673,0.6159339853053453,0.7897849732940331,0.09348829616321234,0.7798755435120643,392,SHAM,L32_S990108,12.840734380621104,15.10397688346,293,0.6633290884384393,32,9472,True
0.07044254805832112,0.6147563872477871,0.7895926885092431,0.09337512723802668,0.778574062544135,392,SHAM,L32_S990108,12.840888149554505,15.104081525570344,292,0.6605541266603498,32,9600,True
0.07043309756763431,0.613588944366635,0.7893976925075219,0.0932654396361032,0.7772874815703725,392,SHAM,L32_S990108,12.841038543127997,15.104185681339356,292,0.6592973797260248,32,9728,True
0.07042486024174653,0.6124315244527483,0.7892001177560599,0.09315911590385856,0.7760155005983533,392,SHAM,L32_S990108,12.841185672717868,15.104289344884704,292,0.6580531799695817,32,9856,True
0.07041778808835415,0.611283997421074,0.789000090722557,0.09305604355655751,0.7747578290659856,392,SHAM,L32_S990108,12.841329645809834,15.104392510413788,291,0.6553185657216002,32,9984,True
0.07041183532857676,0.6101462352942825,0.7887977321855755,0.09295611482454166,0.7735141854474009,392,SHAM,L32_S990108,12.841470566128844,15.104495172244174,291,0.6541004102702449,32,10112,True
0.07040695828035927,0.6090181121875015,0.7885931575269203,0.0928592264152395,0.7722842968831002,392,SHAM,L32_S990108,12.841608533787927,15.104597324811326,291,0.6528941331583141,32,10240,True
