AMBIENT_REMOVED_BY_SINK,AMBIENT_SINK_YIELD,DYNAMIC_NET_AMBIENT,DYNAMIC_NET_FRESH,DYNAMIC_NET_INCUMBENT,DYNAMIC_NET_TOTAL,FRESH_AFTER_128,FRESH_AFTER_16,FRESH_AFTER_2048,FRESH_AT_END_OF_FORCE,FRESH_COAST_RETENTION,FRESH_REMOVED_BY_LATER_SINKS,FRESH_SINK_YIELD,FRESH_TERMINAL_RETENTION,FRESH_WASHOUT_FRACTION,GROSS_FRESH_ADDED,GROSS_SINK_REMOVAL,INCUMBENT_REMOVED_BY_SINK,INCUMBENT_SINK_YIELD,M256,OPERATOR_DELTA_AMBIENT,OPERATOR_DELTA_FRESH,OPERATOR_DELTA_INCUMBENT,OPERATOR_DELTA_TOTAL_MASS,arm,block,size
2.4855291315257992,0.019877325021254083,36.78360833683891,0.0,-82.03771317114649,-45.254104834307526,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,125.04344165364884,122.55791252212299,0.9801226749787455,299.1842252564305,-2.4855291315257992,0.0,-122.55791252212299,-125.04344165364884,SINK_ONLY_Q800,L32_S990100,32
0.0,,90.49594128360573,-17.712878246113746,-31.966026698857377,40.817036338634836,135.15535290257398,135.12708508865336,133.44404735077396,135.05384242891577,0.9880803459628399,0.0,,0.882817951104991,0.0,151.1569255968877,0.0,0.0,,299.1842252564305,-0.0,151.1569255968877,-0.0,151.1569255968877,SOURCE_ONLY_Q800,L32_S990100,32
0.0,,63.33655185046191,0.0,-71.24754039038629,-7.910988539924745,,,0.0,,,0.0,,,,0.0,0.0,0.0,,291.58176325121104,-0.0,0.0,-0.0,0.0,SHAM,L32_S990101,32
1.7068839830143918,0.02415371745440415,36.82978210790925,-8.759346217947133,-31.23768293286608,-3.1672470429035826,66.43316262010416,66.79250456200636,61.90014984044617,66.59919634841323,0.9294428947252752,0.00805175227141407,0.00011393846993228978,0.8759345945651248,0.00011393846993228976,70.66754781066471,70.6675478106647,68.95261207537885,0.975732344075663,291.58176325121104,-1.7068839830143918,70.6594960583933,-68.95261207537885,1.4210854715202004e-14,DIRECT_Q100_ANCHOR,L32_S990101,32
2.944663949607459,0.03270137289894332,42.53345471761295,-12.38191265854988,-35.40344227648923,-5.2519002174259555,82.70717630422556,82.88333914333003,77.28506982281043,82.73496203714238,0.9341283046472503,0.3801222291153254,0.0042213709184489075,0.85827378982702,0.004221370918448907,90.04710471047564,90.04710471047562,86.72231853175278,0.9630772561826071,291.58176325121104,-2.944663949607459,89.66698248136031,-86.72231853175278,1.4210854715202004e-14,DIRECT_Q200_UNIFORM,L32_S990101,32
6.939593902019264,0.050761958077716544,52.75535737474977,-23.067000037742503,-33.97099247502423,-4.282635138016786,107.14799800620322,105.29057284309857,100.42824459618534,105.27858321448868,0.9539285344634479,13.213309661687576,0.09665312993593235,0.7346156582054231,0.09665312993593234,136.70855429561541,136.7085542956154,116.5556507319085,0.8525849119863508,291.58176325121104,-6.939593902019264,123.49524463392784,-116.5556507319085,2.842170943040401e-14,DIRECT_Q400_UNIFORM,L32_S990101,32
11.387965037758452,0.06156068575967093,66.61574657508541,-33.75784124040601,-32.923615855005494,-0.06571052032577995,108.15279207428011,108.4880764058715,108.36220606272693,108.53809102188814,0.9983795093731127,42.867577464667036,0.23173213623600633,0.5857808391169153,0.23173213623600628,184.98762476779999,184.98762476779996,130.73208226537426,0.7067071780043216,291.58176325121104,-11.387965037758452,142.12004730313294,-130.73208226537426,2.842170943040401e-14,DIRECT_Q800_UNIFORM,L32_S990101,32
5.8704614018334365,0.054120769874966064,52.95567843503604,-15.970440565851703,-38.27222415595452,-1.286986286770457,93.45986162221223,93.35177059863932,90.15299874934917,93.36956729246984,0.9655501397682916,2.346218736519842,0.021630184686312122,0.8311356407739594,0.021630184686312122,108.46965805172071,108.46965805172071,100.25297791336752,0.9242490454387225,291.58176325121104,-5.8704614018334365,106.12343931520087,-100.25297791336752,0.0,DIRECT_Q400_BURST,L32_S990101,32
2.1332494046541437,0.018194900392517352,37.130022361575975,0.0,-79.12471670346518,-41.99469434188944,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,117.24435740969716,115.1111080050431,0.9818050996074834,291.58176325121104,-2.1332494046541437,0.0,-115.1111080050431,-117.24435740969716,SINK_ONLY_Q800,L32_S990101,32
0.0,,87.63575486393414,-18.032707652769858,-31.45900727476669,38.14403993639772,136.50126260133177,136.33020285559726,134.96846165629933,136.2448207003079,0.990631871087297,0.0,,0.8821400664177736,0.0,153.00116930906918,0.0,0.0,,291.58176325121104,-0.0,153.00116930906918,-0.0,153.00116930906918,SOURCE_ONLY_Q800,L32_S990101,32
