law_index,condition,seed,n_meas,sum_P,sum_M,sum_PP,sum_MM,sum_PM,mean_P,mean_M,mean_turnover,mean_abs_circulation,probe_count,cross_cadence_endpoints,eligible_seed,n_tracks,long_tracks,mean_track_obs,max_track_obs,censored_tracks,births,splits,merges,ambiguous
27,ON,7001,401,244.2060001521255,170.901809207969,155.37746346624266,100.99378853187876,112.4461605019823,0.6089925190826072,0.4261890503939376,0.5738109496060623,0.7680699362939821,2,0,False,220,8,2.1863636363636365,18,205,220,12,4,0
27,ON,7002,290,176.23344484331759,134.75757299298851,113.0261630324996,85.46960665437891,90.02305707972172,0.6077015339424744,0.46468128618271903,0.535318713817281,0.7604594345575226,1,0,False,225,1,2.008888888888889,8,210,225,7,3,0
27,ON,7003,423,263.2075997960124,192.91735689609428,171.09473960663524,123.09231179847569,130.5189946740876,0.6222401886430553,0.45606940164561294,0.5439305983543873,0.6713992914375605,2,0,False,219,9,2.2146118721461185,15,195,219,3,6,3
28,OFF,7001,374,277.5324242181673,208.34267449430178,211.31525218483253,139.64720935645335,162.1890002470752,0.7420653053961692,0.5570659745836946,0.44293402541630505,0.19322007449786072,19,0,False,193,7,2.1709844559585494,28,172,193,7,2,0
28,OFF,7002,463,353.00713532809544,311.68396468750177,274.08363077388424,237.92603729810543,244.32828235551267,0.7624344175552817,0.6731835090442803,0.32681649095571985,0.16234456248854912,8,0,False,155,7,2.541935483870968,42,143,155,7,4,1
28,OFF,7003,482,360.44030737802774,223.9586751106729,275.1118381538963,139.120071827682,176.03622617101703,0.7478014675892691,0.46464455417152056,0.5353554458284803,0.1749417670456935,31,0,False,208,8,2.3990384615384617,20,196,208,12,16,0
28,ON,7001,401,243.71794462434292,157.83096754424906,154.6846422203646,92.98476571636823,105.54239943883313,0.607775423003349,0.39359343527244156,0.6064065647275585,0.6148057805876616,4,0,False,235,5,2.217021276595745,13,226,235,11,11,2
28,ON,7002,460,283.90707091971495,193.68621248773286,183.81648851355448,124.41726493822418,132.59722311495034,0.617189284608076,0.4210569836689845,0.5789430163310159,0.6180529141413169,2,0,False,245,6,2.2775510204081635,13,227,245,14,16,4
28,ON,7003,468,295.27619633082713,200.97115414521724,193.70358494311083,127.39470841126408,138.2301393816113,0.6309320434419383,0.429425543045336,0.5705744569546644,0.5401811016366633,4,0,False,237,9,2.29957805907173,12,228,237,15,11,1
29,OFF,7001,667,553.0330344404186,586.4253120758743,466.66115903050365,539.9021497862866,495.1966249594925,0.8291349841685437,0.8791983689293468,0.120801631070653,0.08341037811633865,2,0,False,39,10,7.769230769230769,61,33,39,2,9,0
29,OFF,7002,871,731.55101599732,744.141281913726,627.0908642049727,680.4949810790633,642.969191604026,0.8398978369659241,0.85435279209383,0.14564720790617014,0.09235917368032122,3,0,False,74,18,5.945945945945946,58,62,74,3,11,0
29,OFF,7003,872,751.2505335765495,758.7185831360504,656.8815123101023,700.4774855177468,667.9290341382516,0.8615258412575109,0.8700901182752871,0.12990988172471257,0.06283286388133627,15,3,True,50,12,8.0,57,38,50,1,5,0
29,ON,7001,424,320.9140591609159,293.18271983787855,247.90716874758903,228.00583706353805,230.42203731253517,0.756872781039896,0.6914686788629211,0.30853132113707904,0.6216924924219437,2,0,False,116,10,3.0775862068965516,16,98,116,4,3,0
29,ON,7002,363,270.81889010035104,256.5274975893345,207.9117830449931,204.06728752594276,198.82628094443652,0.7460575484858155,0.7066873211827396,0.2933126788172604,0.6188329165655128,5,0,False,133,8,2.669172932330827,16,118,133,4,7,1
29,ON,7003,338,248.09020246281798,222.50483712762963,186.6081981448855,169.07232387669927,169.8923333606976,0.7339946818426567,0.6582983346971291,0.34170166530287105,0.5661535253757249,5,0,False,139,5,2.676258992805755,10,130,139,2,7,0
30,OFF,7001,1110,995.7949614191616,1056.5380871664563,904.0326417596128,1022.0274676073848,955.6884330952869,0.8971125778551006,0.951836114564375,0.04816388543562456,0.020817332242095837,0,0,False,32,16,14.09375,61,20,32,2,6,0
30,OFF,7002,799,694.1883210886076,746.2730315611226,613.7286054582603,709.7312618854684,656.5369174643184,0.868821428145942,0.9340088004519682,0.06599119954803238,0.05322026718570313,1,0,False,47,13,7.76595744680851,61,35,47,0,4,0
30,OFF,7003,790,661.6592277102367,696.917655117729,565.4256654778743,645.7339469259948,596.053652368343,0.8375433262154894,0.8821742469844671,0.11782575301553169,0.06600437814087698,9,0,False,40,13,8.775,61,34,40,0,8,2
30,ON,7001,430,324.20132602439577,317.25832998091914,249.96654470532593,259.59983762892034,246.93333390674388,0.7539565721497576,0.7378100697230677,0.2621899302769317,0.7787997538530758,4,0,False,97,9,3.3402061855670104,25,85,97,6,6,0
30,ON,7002,390,292.20386696541505,292.7240768541757,224.5298240248509,241.7334163473879,226.80567633639507,0.7492406845267052,0.7505745560363479,0.24942544396365232,0.727294852250683,3,0,False,114,11,2.973684210526316,13,108,114,5,3,0
30,ON,7003,496,373.00054387601233,364.3443884890677,287.24013191191773,296.2887894465166,282.33552311277003,0.7520172255564764,0.7345652993731203,0.26543470062687957,0.7337687021619368,12,0,False,109,15,3.385321100917431,20,100,109,9,6,0
31,OFF,7001,806,654.9005337095534,700.564423368956,545.2178749178071,659.0572913072814,585.9110958606578,0.8125316795403889,0.8691866294900199,0.1308133705099804,0.10499599404922534,3,0,False,88,16,4.8977272727272725,36,82,88,2,9,6
31,OFF,7002,464,347.4048904086462,398.25728929001497,272.24269674587697,362.72157575933676,306.526565964715,0.7487174362255307,0.8583131234698599,0.14168687653014064,0.14761959895962812,3,0,False,98,7,3.122448979591837,61,92,98,4,3,0
31,OFF,7003,483,413.9145140374933,450.2411236922934,361.88479095334634,434.94031900825263,391.8556264029409,0.8569658675724499,0.9321762395285578,0.06782376047144248,0.13653755072310053,0,0,False,44,10,5.454545454545454,48,38,44,0,2,0
31,ON,7001,371,264.8147676630099,251.23440195428236,194.8267258912192,191.97196466145337,187.9028874028027,0.7137864357493529,0.6771816764266371,0.32281832357336304,0.6966381804234687,0,0,False,118,9,2.7542372881355934,21,115,118,4,7,1
31,ON,7002,341,241.72294855252926,242.96435704081532,177.47696408179903,193.52036515801908,180.3083875723955,0.708864951766948,0.7125054458674936,0.2874945541325063,0.8304516333850036,3,0,False,118,7,2.7203389830508473,21,109,118,4,6,0
31,ON,7003,535,394.77911486256596,375.58131705597793,298.9966542825344,301.11097019372875,289.63126051877316,0.7379048875935812,0.7020211533756597,0.29797884662434,0.7750954367963757,2,0,False,123,14,3.2845528455284554,26,111,123,11,10,1
32,OFF,7001,821,710.3227201463515,761.1286195285312,623.828622830886,728.0422151703141,666.936496317443,0.865192107364618,0.9270750542369443,0.07292494576305589,0.03289015470985212,10,0,False,41,9,8.634146341463415,61,32,41,1,4,1
32,OFF,7002,921,839.2463144535876,877.8105375397084,774.1223921152985,851.0982494220449,807.136754566261,0.9112337833372287,0.9531059039519093,0.04689409604809013,0.04298939145188948,5,0,False,40,12,9.65,60,28,40,1,4,0
32,OFF,7003,1383,1274.3420919486286,1312.5303518767405,1187.6864339256022,1273.8631614150079,1224.5748728596725,0.9214331828985023,0.9490458075753727,0.050954192424628106,0.03199772732336758,5,1,True,36,19,15.36111111111111,61,18,36,3,0,0
32,ON,7001,406,290.6437500787827,267.3553422056392,213.49912749828755,199.8653404706473,199.39040014952687,0.7158713056127654,0.6585106950877813,0.341489304912219,0.74844757350517,2,0,False,133,9,2.744360902255639,15,124,133,5,5,0
32,ON,7002,462,325.962628276424,299.998649705171,238.11327328733512,227.19345706516071,223.72119118169635,0.7055468144511342,0.6493477266345692,0.3506522733654308,0.7856396501340667,0,0,False,131,11,3.0839694656488548,18,116,131,8,12,2
32,ON,7003,402,292.40487060589135,276.55547262780965,218.5255667119326,215.6142896327178,209.41608609246413,0.7273753000146551,0.6879489368850986,0.31205106311490083,0.7793648218856283,1,0,False,126,10,2.7857142857142856,23,114,126,0,3,0
33,OFF,7001,490,359.88388215383105,388.0539876884051,276.6952338420207,342.6566832952248,296.3330276343569,0.7344569023547572,0.7919469136498063,0.2080530863501946,0.15238348534294816,1,0,False,99,10,3.303030303030303,45,90,99,2,3,3
33,OFF,7002,514,381.4992604628848,402.28652795692796,296.2112408317351,352.40485562586804,313.59498025726396,0.742216460044523,0.7826586147021944,0.21734138529780603,0.16150413633238944,0,0,False,114,9,3.017543859649123,61,105,114,1,10,0
33,OFF,7003,816,647.573569638786,703.2474579117694,530.8936476762277,639.5386256937603,571.2472489607931,0.7935950608318456,0.8618228650879527,0.13817713491204783,0.10125508986970828,3,0,False,86,17,4.976744186046512,59,77,86,3,4,3
33,ON,7001,283,190.5894875693392,188.40015969618204,134.17584407191103,144.48731105321585,134.6701110761768,0.6734610868174531,0.6657249459229048,0.33427505407709546,0.7014350566595839,0,0,False,167,5,2.1077844311377247,13,164,167,2,1,1
33,ON,7002,303,204.46612506514575,191.78091548943618,143.27977805646086,138.8952712138268,136.6765099477809,0.6748056932843094,0.632940315146654,0.3670596848533457,0.7557235368752715,0,0,False,162,6,2.1604938271604937,21,150,162,4,4,0
33,ON,7003,270,184.22254062629136,175.0420162242992,130.14887587750343,131.42329506223598,126.2014270701381,0.6823057060233013,0.6483037637937008,0.3516962362062999,0.7004419120961485,0,0,False,161,6,2.1366459627329193,10,152,161,6,1,0
34,OFF,7001,548,465.324403742944,486.2302088936474,402.6618606963664,457.49703979317457,422.1421002229103,0.849132123618511,0.8872814030905974,0.11271859690940247,0.07379623401904506,7,0,False,41,7,6.317073170731708,61,35,41,2,3,0
34,OFF,7002,310,258.8742295665746,255.63201481353187,221.36451736988388,229.62464840133993,220.0109759578532,0.8350781598921763,0.8246194026242963,0.17538059737570375,0.14239551759221997,3,0,False,60,5,3.3666666666666667,50,57,60,1,9,1
