L,seed,arm,injection,contact,capture,incorporation_16,durable_128,capture_le_contact,inc16_le_capture,d128_le_inc16,contact_le_injection,direct_dynamic_capture_is_zero
24,980008,D2_REDESIGNED_Q020,17.772645471702475,9.607239330013202,5.904011100998868,8.25789103015794,8.194480109629017,True,False,True,True,True
24,980008,D2_REDESIGNED_Q050,19.622751268898497,8.604071414950923,7.031344477278531,11.397575865917975,9.883085419540196,True,False,True,True,True
24,980008,D2_REDESIGNED_Q100,20.57615672894237,8.877673125702785,7.786459187062954,14.590541591007721,12.994583776389087,True,False,True,True,True
24,980008,DIRECT_INTERFACE_Q100,50.19515981769506,6.08365479810639,11.245874490814968,46.384157589773004,46.06267631029687,False,False,True,True,False
32,980100,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980100,D1_LEGACY_Q005,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980100,D1_REDESIGNED_Q005,6.953390994484042,3.166076306560811,3.1697315869856357,3.5498750377208177,3.5394158496916415,False,False,True,True,True
32,980100,D2_REDESIGNED_Q005,14.798451012512157,8.333169226060788,5.049627223034629,6.644304557545683,6.545061527854482,True,False,True,True,True
32,980100,D2_REDESIGNED_Q020,19.932520194084024,9.48273280475828,7.627691582154203,10.426291546111615,9.9491534862236,True,False,True,True,True
32,980100,D2_REDESIGNED_Q050,21.37403128195606,8.47634475602165,8.566988141097603,14.728205163782462,13.653763502514112,False,False,True,True,True
32,980100,D2_REDESIGNED_Q100,23.903333170778353,7.667202280030975,10.116123135036382,19.243850334328776,18.10371360894899,False,False,True,True,True
32,980100,DIRECT_INTERFACE_Q100,72.03131563729461,6.311788082742939,14.81705068706691,68.41722295601515,68.23206196301629,False,False,True,True,False
32,980101,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980101,D1_LEGACY_Q005,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980101,D1_REDESIGNED_Q005,7.368733710361463,3.503246214666706,3.316701110190529,3.626057883804102,3.6059122918948185,True,False,True,True,True
32,980101,D2_REDESIGNED_Q005,14.876981880166797,8.280115783399825,5.229961268836872,6.446142067044534,6.338671527878784,True,False,True,True,True
32,980101,D2_REDESIGNED_Q020,21.506567486139932,9.923615529928588,7.964292418633438,11.379723995133212,10.670521612899178,True,False,True,True,True
32,980101,D2_REDESIGNED_Q050,23.207715166935042,9.610945152505293,8.912904211932016,14.673427866832247,13.817390674281356,True,False,True,True,True
32,980101,D2_REDESIGNED_Q100,25.7824037763384,8.392049608342177,10.329792553864856,19.229016890177668,18.373355856153886,False,False,True,True,True
32,980101,DIRECT_INTERFACE_Q100,67.31119189996264,6.484746196462603,14.09800002944322,63.72698505977281,63.400598001444834,False,False,True,True,False
32,980102,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980102,D1_LEGACY_Q005,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980102,D1_REDESIGNED_Q005,7.925216880706345,3.654954571806306,3.6662398925566473,4.056781534078972,4.0419396238013094,False,False,True,True,True
32,980102,D2_REDESIGNED_Q005,14.85259014643674,8.91004919068373,5.060721942226751,6.566072479034389,6.477919814435222,True,False,True,True,True
32,980102,D2_REDESIGNED_Q020,22.414332038523632,10.345790373772886,8.624712667861724,13.741488050710961,12.342687367359176,True,False,True,True,True
32,980102,D2_REDESIGNED_Q050,24.38630743486699,9.69304175884275,9.546902648365121,16.66977087901543,15.6620766873087,True,False,True,True,True
