law_index,condition,seed,n_meas,sum_P,sum_M,sum_PP,sum_MM,sum_PM,mean_P,mean_M,mean_turnover,probe_count,cross_cadence_endpoints,eligible_seed,n_tracks,long_tracks,mean_track_obs,max_track_obs,censored_tracks,births,splits,merges,ambiguous
8,OFF,7003,1370,1222.1310697756142,1202.142560393683,1101.3388531122887,1109.33551235897,1090.8745883235717,0.8920664742887695,0.877476321455243,0.12252367854475717,23,0,False,41,19,13.634146341463415,61,26,41,4,11,7
8,ON,7001,380,280.4937313552337,260.71328250669245,215.3078070323995,211.07559205731786,204.89697899812737,0.7381413983032465,0.6860875855439275,0.3139124144560722,2,0,False,140,11,2.6,19,134,140,12,11,1
8,ON,7002,355,261.2227657756538,239.18234165337074,199.18546966361558,190.27766246800658,186.95827505085455,0.7358387768328276,0.6737530750799176,0.32624692492008217,4,0,False,159,7,2.3962264150943398,16,147,159,15,13,9
8,ON,7003,334,238.47970075195428,207.47946372163963,178.73622443398398,156.64861944515667,160.31562521571257,0.7140110800956715,0.6211959991665857,0.3788040008334137,3,0,False,152,6,2.348684210526316,17,143,152,13,5,3
9,OFF,7001,1583,1397.2323273357329,1479.3935703185673,1245.5244741211156,1430.1438711167584,1321.512527203576,0.8826483432316695,0.9345505813762269,0.06544941862377113,9,0,False,44,23,14.590909090909092,61,26,44,8,11,0
9,OFF,7002,1393,1245.357165577142,1320.1907474168352,1121.940746284969,1279.5716598264364,1190.2688158303558,0.8940108869900517,0.9477320512683669,0.052267948731633616,8,0,False,35,20,15.914285714285715,61,17,35,4,13,0
9,OFF,7003,1616,1409.9753171939149,1487.917299806591,1241.8031731180113,1413.4612499788743,1313.5464742134,0.872509478461581,0.9207409033456627,0.07925909665433616,7,0,False,42,24,15.5,61,24,42,7,16,1
9,ON,7001,142,96.70880523181212,94.46226006374951,68.37984584256607,69.87401883591302,67.14848988324808,0.681047924167691,0.6652271835475317,0.33477281645246804,0,0,False,123,2,1.7723577235772359,10,114,123,2,2,1
9,ON,7002,116,74.23422952406864,70.35781962530089,49.563184398045415,48.72559424384391,47.43832348487025,0.639950254517833,0.606532927804318,0.393467072195682,0,0,False,112,0,1.7857142857142858,7,109,112,2,4,0
9,ON,7003,106,71.91454780985538,77.6081301189634,50.95977334749455,61.38411591290051,54.87452776796658,0.6784391302816545,0.732152170933617,0.26784782906638305,0,0,False,104,2,1.6923076923076923,13,95,104,1,2,0
10,OFF,7001,1645,1462.3281434921741,1521.6618104934255,1309.1782592580405,1445.71903299209,1364.8953973070566,0.8889532787186469,0.9250223771996507,0.07497762280034763,7,0,False,42,22,15.738095238095237,60,21,42,2,3,0
