law_index,condition,seed,n_meas,mean_P,mean_M,min_M,probe_count,eligible_seed,n_tracks,max_track_obs,long_tracks,mean_abs_circulation,total_mass_drift,exchange_rate
30,ON,8001,120,0.9772834038481946,0.9496318438817648,0.6946801181282952,0,False,6,19,4,0.00014002309876134396,2.9353420710800993e-16,0.5745746691871456
30,ON,8002,224,0.9566217745938826,0.8948996395315376,0.3807490371141126,0,False,13,27,6,0.00041373222388967995,2.587848717745294e-16,0.5745746691871456
30,ON,8003,270,0.952020126531821,0.8994726036440018,0.29264324229237015,0,False,6,31,5,0.0002866944899127826,1.658676101042813e-16,0.5745746691871456
31,OFF,8001,83,0.9945384595367932,0.9896559832651427,0.971237141168981,0,False,1,31,1,0.001313485021219145,2.843797197635952e-16,0.0
31,OFF,8002,83,0.9949793831007907,0.9928977737097473,0.979249359479007,0,False,1,31,1,0.0009072774543171235,0.0,0.0
31,OFF,8003,83,0.9955470613073841,0.9890316481943456,0.9695401186898184,0,False,1,31,1,0.0005493104583046136,1.6069467658996274e-16,0.0
31,ON,8001,0,,,1.0,0,False,1,1,0,0.0010634889115460862,1.421898598817976e-16,0.6071833648393195
31,ON,8002,0,,,1.0,0,False,1,1,0,0.000712008375479482,2.5071411621616885e-16,0.6071833648393195
31,ON,8003,0,,,1.0,0,False,1,1,0,0.0004154823036763886,3.213893531799255e-16,0.6071833648393195
32,OFF,8001,197,0.9963992585480002,0.9847345305056638,0.9148255110689466,0,False,6,25,3,8.388934227502215e-05,2.7577896726342797e-16,0.0
32,OFF,8002,83,0.9910846805800235,0.9890587042640194,0.9551078289609215,0,False,2,31,1,0.00022880220588985942,1.215657714726204e-16,0.0
32,OFF,8003,160,0.9891794560996432,0.9770046806449699,0.8319647416030628,0,False,2,31,2,0.00021273648652577387,1.5583464246870528e-16,0.0
32,ON,8001,0,,,1.0,0,False,2,1,0,0.00021245311216337942,1.3788948363171398e-16,0.6397920604914934
32,ON,8002,0,,,1.0,0,False,3,1,0,7.53298684405778e-05,2.431315429452408e-16,0.6397920604914934
32,ON,8003,0,,,1.0,0,False,3,1,0,4.372318659548517e-05,3.1166928493741057e-16,0.6397920604914934
33,OFF,8001,83,0.994501184058825,0.993714082522295,0.9772042892198299,0,False,1,31,1,0.00014017514793358924,2.6768318318656587e-16,0.0
33,OFF,8002,83,0.9919563512600742,0.9955437455537915,0.9874248276150145,0,False,1,31,1,0.00016938927957116184,2.3599415863529534e-16,0.0
33,OFF,8003,133,0.9814421955581659,0.9796311865875102,0.8530863601094445,0,False,2,31,2,6.669533875281426e-05,1.5125995125987018e-16,0.0
33,ON,8001,2357,0.9804669947253408,0.9268467644367248,0.2559942993615304,9,True,46,30,34,6.380291505093865e-05,2.6768318318656587e-16,0.6724007561436673
33,ON,8002,2330,0.9830794114639034,0.9321840358135198,0.14612105172367088,10,True,39,30,32,8.403907893440181e-05,1.1799707931764767e-16,0.6724007561436673
33,ON,8003,1970,0.9772832421753544,0.926813542432762,0.18910771380845418,0,False,42,30,30,7.190961735788266e-05,1.5125995125987018e-16,0.6724007561436673
34,OFF,8001,83,0.9937105899758469,0.9925442038602288,0.981382974118503,0,False,1,31,1,0.00010226275972585692,2.6004916416284597e-16,0.0
34,OFF,8002,83,0.992324193282091,0.9958094337362938,0.9895665334709497,0,False,1,31,1,6.920859846927504e-05,2.292638744423844e-16,0.0
34,OFF,8003,130,0.9798152594967532,0.9833374260992916,0.8508496409029072,0,False,2,31,2,3.22473673622382e-05,1.4694619000038905e-16,0.0
34,ON,8001,2751,0.9712688029356408,0.913615394889062,0.13074752377384227,15,False,81,29,60,0.0005371250123921242,2.6004916416284597e-16,0.7050094517958413
34,ON,8002,2744,0.9705151907440593,0.9089034657363457,0.10044691721269858,24,False,79,29,60,0.0006044470030619719,1.146319372211922e-16,0.7050094517958413
34,ON,8003,1994,0.9751911808469769,0.9214837994664293,0.23050297822768095,9,True,57,29,42,0.0005992673626107669,1.4694619000038905e-16,0.7050094517958413
35,OFF,8001,83,0.9957591166635105,0.9966700991773046,0.9911085001609841,0,False,1,31,1,0.00035003464598566474,2.5283849860913563e-16,0.0
