law_index,seed,n_meas,mean_P,mean_M,probe_count,eligible_seed,n_tracks,max_track_obs,long_tracks,mean_abs_circulation,mean_entity_mass,mean_entities_per_snapshot
158,8003,83,0.9827466911032369,0.9905687623382347,0,False,1,31,1,0.0002049850049046111,849.8199820329958,1.0
159,8001,83,0.9901756614816409,0.9909010852686084,0,False,1,31,1,0.0005778731036231627,965.3665141479064,1.0
159,8002,83,0.9834417773902423,0.9933545625496246,0,False,1,31,1,0.00029305708825921314,1121.933528978893,1.0
159,8003,83,0.9845270764972065,0.9908047895624028,0,False,1,31,1,0.0004671910882503587,848.9786766778627,1.0
160,8001,83,0.989597847375298,0.9889150100046683,0,False,1,31,1,0.0001148416089700195,963.3026453779956,1.0
160,8002,83,0.9868580769536269,0.9928843887340454,0,False,1,31,1,2.3105779306070694e-05,1118.9762408024997,1.0
160,8003,87,0.9653946749167966,0.9669371286127203,0,False,2,31,1,6.772582205861837e-05,754.7829149945646,1.1290322580645162
161,8001,83,0.9900663863999819,0.9889691532181081,0,False,1,31,1,0.0005779651418123665,965.6866754759642,1.0
161,8002,83,0.9885082661630754,0.9924700164812771,0,False,1,31,1,0.0003483658926739427,1123.1524014221668,1.0
161,8003,83,0.9885053270871103,0.9884998287842538,0,False,1,31,1,0.00023246897179202003,854.7507828729991,1.0
162,8001,83,0.9905557434361786,0.9883480805075753,0,False,1,31,1,0.0006405905688052676,964.1474707315771,1.0
162,8002,83,0.9915337877789462,0.992095132693478,0,False,1,31,1,0.0002624509419136414,1121.1264608400643,1.0
162,8003,83,0.9904939308057047,0.9876376749948514,0,False,1,31,1,0.00015210135641692465,854.0202208605144,1.0
163,8001,83,0.9953644032282698,0.9949535107723553,0,False,1,31,1,0.0003877275158777205,922.8486936856523,1.0
163,8002,83,0.996701204913885,0.9959622110020493,0,False,1,31,1,0.00016788773334135747,1088.9976913458524,1.0
163,8003,83,0.9948171532506194,0.993692871674944,0,False,1,31,1,0.000131262742890642,816.7754618141768,1.0
164,8001,83,0.9942602921410516,0.9898675587641979,0,False,1,31,1,0.00020302410317098152,915.1852416033423,1.0
164,8002,83,0.9963078459823048,0.9933108809009156,0,False,1,31,1,4.227437348432311e-05,1082.6112726016026,1.0
164,8003,145,0.9848515863270731,0.9766964847649052,0,False,2,31,2,3.728751960596431e-05,458.28384119568796,1.7741935483870968
165,8001,83,0.9958663202735715,0.9922867409618693,0,False,1,31,1,0.0004936223413445469,922.5712485850172,1.0
165,8002,83,0.9966695989367882,0.9944177077158193,0,False,1,31,1,0.00023137149483132635,1088.6359649207736,1.0
165,8003,112,0.9827975460017713,0.9795748301729587,0,False,2,31,2,0.00012399534511509753,576.0739737730445,1.4193548387096775
166,8001,83,0.9956308853341774,0.9953851339256886,0,False,1,31,1,0.00011264342429459292,893.7261765629789,1.0
166,8002,83,0.9948592639727902,0.9965286501024239,0,False,1,31,1,0.00013933482574733313,1064.5349710410426,1.0
166,8003,130,0.9831925690947367,0.9837322603610779,0,False,2,31,2,5.565504473845173e-05,489.90804604278804,1.6129032258064515
167,8001,83,0.9978130051459481,0.9974077961432543,0,False,1,31,1,0.0006315292035427342,907.1677486150961,1.0
167,8002,83,0.9944621596139711,0.9980367229597217,0,False,1,31,1,0.0003787159030044058,1073.7166782027975,1.0
167,8003,83,0.9958584938761522,0.9971427181660888,0,False,1,31,1,0.0003380564791908181,799.9532462541737,1.0
168,8001,103,0.9935835226279764,0.9871832906435184,0,False,5,18,2,0.00013013941761822462,534.3266322925067,1.6451612903225807
168,8002,83,0.9906927648138207,0.9915181206078637,0,False,1,31,1,0.00029041833517855686,1055.6105013732908,1.0
168,8003,145,0.9814881822178593,0.9754492143008282,0,False,2,31,2,0.00011207166226763572,443.1447799068114,1.7741935483870968
169,8001,96,0.9931807086704407,0.9904500579275209,0,False,6,19,3,0.00018646082374684675,565.2875870884235,1.5806451612903225
169,8002,83,0.9897877194276103,0.9936776950367162,0,False,1,31,1,0.00026190748206678344,1064.0291662476566,1.0
169,8003,142,0.9809233538278088,0.9776201246935305,0,False,2,31,2,0.0001386951032902957,457.5252062171519,1.7419354838709677
170,8001,151,0.9934400571582609,0.9802693288078309,0,False,5,19,4,0.00012930070119348714,417.5814071892974,2.129032258064516
170,8002,83,0.9880107914367114,0.9890689456845608,0,False,2,31,1,0.00045231835653079426,1026.715011435574,1.032258064516129
170,8003,151,0.9810290883440611,0.9729282684003159,0,False,2,31,2,0.00016552122051095999,433.1633527966315,1.8387096774193548
171,8001,84,0.9921078018269188,0.991752724482524,0,False,5,24,1,0.0004958798254496155,701.5742394937491,1.2903225806451613
171,8002,83,0.9849085465365717,0.9927213118617838,0,False,1,31,1,0.0005207620949033529,1069.0673967227433,1.0
171,8003,139,0.9781870084614769,0.9767209791306544,0,False,2,31,2,0.00022995436491810446,469.8370789198295,1.7096774193548387
172,8001,83,0.9874821155098488,0.989105783194612,0,False,1,31,1,0.00015812389721267997,986.6081493177443,1.0
172,8002,83,0.9757977623078868,0.9926248081723954,0,False,1,31,1,3.963806995636241e-05,1136.5612471045224,1.0
172,8003,83,0.9764047598568222,0.9888814676259724,0,False,1,31,1,0.00010341453247811021,869.6806969366125,1.0
173,8001,83,0.98799385262175,0.9891078914561543,0,False,1,31,1,0.0005208684004056824,979.7743880381989,1.0
173,8002,83,0.9770894505139245,0.992399145868374,0,False,1,31,1,8.020676559376014e-05,1134.4606109645258,1.0
173,8003,83,0.979145599494672,0.9888667815681639,0,False,1,31,1,0.00019550123738795545,864.9149336783925,1.0
174,8001,83,0.9886898093824716,0.9884453726574807,0,False,1,31,1,0.0007106332251533337,977.5776874188837,1.0
174,8002,83,0.979981751676607,0.9921524447660873,0,False,1,31,1,0.00015426566568047336,1133.5376551931379,1.0
174,8003,83,0.9813927928540771,0.9880874068954669,0,False,1,31,1,0.00011804171047265353,865.2471943189979,1.0
175,8001,83,0.9896603944533701,0.9884558868704612,0,False,1,31,1,0.0009664868937539908,972.804508399564,1.0
175,8002,83,0.9828282717655561,0.9921192735813958,0,False,1,31,1,0.0003541833866838514,1131.790879507663,1.0
175,8003,83,0.9854977469912743,0.9882724313912667,0,False,1,31,1,0.00028280613758576275,861.2040304709573,1.0
176,8001,83,0.9913551673716533,0.9879811131544247,0,False,1,31,1,7.533478205384775e-05,928.6423275012223,1.0
176,8002,83,0.9916173759341126,0.9921711386403239,0,False,1,31,1,5.005666428612687e-05,1095.4864928815837,1.0
176,8003,151,0.9843274326304697,0.9772278259873415,0,False,2,31,2,4.150138895054557e-05,448.6231413924303,1.8387096774193548
177,8001,83,0.9936157139604523,0.9954793904498621,0,False,1,31,1,0.000235288456657294,928.597247995411,1.0
177,8002,83,0.9926981839164928,0.9965150342478295,0,False,1,31,1,8.607471808113712e-05,1091.5048437152632,1.0
177,8003,83,0.9916160876447685,0.9944439754458395,0,False,1,31,1,0.00010175696079231754,818.211635384802,1.0
178,8001,83,0.9936625713367966,0.9945880841353398,0,False,1,31,1,0.00018352525945727647,925.7469411299521,1.0
178,8002,83,0.993351833704454,0.9960700374287496,0,False,1,31,1,5.847320237823126e-05,1090.929397598098,1.0
178,8003,83,0.9917563142417479,0.9935617145473365,0,False,1,31,1,6.872151362003575e-05,818.246700995983,1.0
179,8001,83,0.99375771497171,0.9946082192922329,0,False,1,31,1,0.0005158558996581477,930.1604868307905,1.0
179,8002,83,0.9934344931721375,0.9956787666635379,0,False,1,31,1,0.00023133918167028122,1094.2994995545798,1.0
179,8003,83,0.9925403856752183,0.9933906113811571,0,False,1,31,1,0.0002058881956194852,821.8789666835437,1.0
180,8001,83,0.9941084249398017,0.9929704699608174,0,False,1,31,1,0.00037818965602444003,924.887920150745,1.0
180,8002,83,0.9954147570066334,0.9948041725016856,0,False,1,31,1,0.00012553154057405526,1091.0566136135837,1.0
180,8003,109,0.9670441779019032,0.9661313591960977,0,False,2,31,2,0.00010928251699087852,590.1798027637896,1.3870967741935485
181,8001,83,0.9947834610557481,0.9929179835293689,0,False,1,31,1,0.0006586139963893733,929.1477899713248,1.0
181,8002,83,0.9966846798512036,0.9946818248119207,0,False,1,31,1,0.0002696209909247688,1094.5114371111697,1.0
181,8003,83,0.9948490192932701,0.9918119775941376,0,False,1,31,1,0.00016924319328435168,822.8560712703786,1.0
182,8001,83,0.9943721372036133,0.9906632634647385,0,False,1,31,1,0.0005187505829419952,927.1024851276488,1.0
182,8002,83,0.9968081850575241,0.9935713294518046,0,False,1,31,1,0.00021742726898733207,1092.1288625746527,1.0
182,8003,142,0.9850207705991753,0.9779559891128579,0,False,2,31,2,0.00013258664191061038,471.8105005243138,1.7419354838709677
183,8001,83,0.9957446037267447,0.99167268580423,0,False,1,31,1,0.0010152964226483715,930.4549734805217,1.0
183,8002,83,0.9960424226307373,0.9940989935711396,0,False,1,31,1,0.0005223732215694587,1094.527056690256,1.0
183,8003,83,0.9964061617086301,0.9908201152845407,0,False,1,31,1,0.0004806253239306376,825.0205980401231,1.0
184,8001,191,0.9966664213925557,0.983472681197389,0,False,6,24,3,8.199373116019336e-05,356.81208853271016,2.5483870967741935
184,8002,84,0.9921811056854298,0.9888223655146737,0,False,3,31,1,0.0003712034118104952,982.0783607571296,1.096774193548387
184,8003,157,0.9869835773951615,0.9758777622023577,0,False,2,31,2,0.0001433814998709512,427.5977018591397,1.903225806451613
185,8001,73,0.9920858766411584,0.9874388904872345,0,False,6,23,1,0.0003989339278074472,762.4293377131089,1.2258064516129032
185,8002,83,0.9908812478357685,0.9910026015914216,0,False,1,31,1,0.0002637330548737472,1093.8645326721858,1.0
185,8003,151,0.9842201652350514,0.9747035195341739,0,False,2,31,2,0.00028092247833797466,451.12011505018086,1.8387096774193548
186,8001,165,0.9957835831067512,0.9840443735687103,0,False,5,22,4,0.00012447648043417998,406.64368996936895,2.2903225806451615
186,8002,83,0.9888439622553192,0.9886486571093592,0,False,1,31,1,0.0004134743620136925,1091.9084291085328,1.0
186,8003,154,0.9844803814409085,0.9729372953012874,0,False,2,31,2,0.0001727482288694033,444.0272131803186,1.8709677419354838
187,8001,79,0.9809772135564275,0.9868037889137609,0,False,6,13,2,0.000635282528137611,650.6456446579494,1.4516129032258065
187,8002,101,0.9766625914929019,0.9784551108706778,0,False,3,31,2,0.0007242301968867217,810.7122345951565,1.3548387096774193
187,8003,148,0.9752554909329305,0.9731705656233305,0,False,2,31,2,0.0002945282475625898,462.495191732152,1.8064516129032258
188,8001,144,0.9932436650968268,0.9801432158349939,0,False,5,17,4,0.00024439498476445454,431.21379053441376,2.032258064516129
188,8002,84,0.9875268845921032,0.9879552386925174,0,False,2,31,1,0.0006573656841458737,986.8894328976023,1.064516129032258
188,8003,148,0.9788918119758857,0.9721832366650215,0,False,2,31,2,0.0002598123985570246,435.21066822813447,1.8064516129032258
189,8001,83,0.9912973441957269,0.9927318598838867,0,False,1,31,1,8.694947327063519e-05,942.8395902604027,1.0
189,8002,83,0.9881056347829121,0.9947718125722327,0,False,1,31,1,1.7345186963252145e-05,1102.9677263981732,1.0
189,8003,83,0.9868020478852038,0.9919997304200716,0,False,1,31,1,7.398415081987548e-05,830.714148177866,1.0
190,8001,83,0.9901863464642012,0.9923181682312392,0,False,1,31,1,0.00012304814371291812,942.0131333222057,1.0
190,8002,83,0.9873736480488106,0.9942303872981906,0,False,1,31,1,3.1592760683889805e-05,1104.3726236263537,1.0
190,8003,83,0.9862755057123911,0.9913388654986932,0,False,1,31,1,5.721958364545621e-05,832.3589621015702,1.0
