M256,PHI_over_M256_per_1000,PHI_per_step,block,bound_by,delivered_fraction,delivered_total,identity_residual,n_events,n_rejected,placement,planned_total,quantum,reject_causes,size,spacing,track_alive_at_end,window
164.2458484805825,0.21549285933971468,0.03539380752375826,L24_S990004,"{""PLANNED"": 32, ""SOURCE"": 0, ""SINK"": 15}",0.27583085995483536,72.48651780865691,5.440092820663267e-15,128,81,DISPERSED,262.79335756893147,2.0530731060072815,"{""NO_SINK_CAPACITY"": 81}",24,16,True,2048
164.2458484805825,0.16927827654377767,0.02780325416026345,L24_S990004,"{""PLANNED"": 27, ""SOURCE"": 0, ""SINK"": 3}",0.8667047759041414,56.94106452021955,3.885780586188048e-15,32,2,DISPERSED,65.69833939223302,2.0530731060072815,"{""NO_SINK_CAPACITY"": 2}",24,64,True,2048
164.37331078332372,0.1746439204882005,0.028706799418825053,L24_S990005,"{""PLANNED"": 10, ""SOURCE"": 2038, ""SINK"": 0}",0.01397151363905541,58.79152520975371,3.9968028886505635e-15,2048,0,INTERFACE,4207.956756053276,2.0546663847915463,{},24,1,True,2048
164.37331078332372,0.17195627645118516,0.028265022470253788,L24_S990005,"{""PLANNED"": 11, ""SOURCE"": 501, ""SINK"": 0}",0.05502600846437948,57.88676601907976,3.6637359812630166e-15,512,0,INTERFACE,1051.9891890132674,2.0546663847915463,{},24,4,True,2048
164.37331078332372,0.165946492265893,0.027277174346624054,L24_S990005,"{""PLANNED"": 12, ""SOURCE"": 116, ""SINK"": 0}",0.21241151010034304,55.86365306188606,5.329070518200751e-15,128,0,INTERFACE,262.9972972533179,2.0546663847915463,{},24,16,True,2048
164.37331078332372,0.14557298178804548,0.023928312977101525,L24_S990005,"{""PLANNED"": 17, ""SOURCE"": 15, ""SINK"": 0}",0.7453336667547932,49.00518497710392,4.440892098500626e-15,32,0,INTERFACE,65.74932431332947,2.0546663847915463,{},24,64,True,2048
164.37331078332372,0.2362470915125555,0.0388327165948496,L24_S990005,"{""PLANNED"": 12, ""SOURCE"": 267, ""SINK"": 30}",0.018899767321003593,79.52940358625199,2.886579864025407e-15,2048,1739,DISPERSED,4207.956756053276,2.0546663847915463,"{""NO_SINK_CAPACITY"": 1739}",24,1,True,2048
164.37331078332372,0.24035802145607887,0.03950844376006484,L24_S990005,"{""PLANNED"": 14, ""SOURCE"": 68, ""SINK"": 19}",0.07691456686594556,80.9132928206128,3.9968028886505635e-15,512,411,DISPERSED,1051.9891890132674,2.0546663847915463,"{""NO_SINK_CAPACITY"": 411}",24,4,True,2048
164.37331078332372,0.2350725928624928,0.03863966036322825,L24_S990005,"{""PLANNED"": 34, ""SOURCE"": 0, ""SINK"": 13}",0.3008929188639908,79.13402442389146,3.219646771412954e-15,128,81,DISPERSED,262.9972972533179,2.0546663847915463,"{""NO_SINK_CAPACITY"": 81}",24,16,True,2048
164.37331078332372,0.18650350792716275,0.0306561990706916,L24_S990005,"{""PLANNED"": 30, ""SOURCE"": 0, ""SINK"": 1}",0.9548979605870735,62.7838956967764,3.3306690738754696e-15,32,1,DISPERSED,65.74932431332947,2.0546663847915463,"{""NO_SINK_CAPACITY"": 1}",24,64,True,2048
165.52669558231926,0.21984654845557067,0.036390472701028846,L24_S990006,"{""PLANNED"": 13, ""SOURCE"": 1765, ""SINK"": 2}",0.017587723876446498,74.52768809170708,3.1086244689504383e-15,2048,268,INTERFACE,4237.483406907169,2.069083694778991,"{""NO_SINK_CAPACITY"": 268}",24,1,True,2048
165.52669558231926,0.21367333151070653,0.03536864049903271,L24_S990006,"{""PLANNED"": 13, ""SOURCE"": 487, ""SINK"": 0}",0.06837546608342564,72.43497574201899,4.440892098500626e-15,512,12,INTERFACE,1059.3708517268503,2.069083694778991,"{""NO_SINK_CAPACITY"": 12}",24,4,True,2048
165.52669558231926,0.20212437082150675,0.03345697919873936,L24_S990006,"{""PLANNED"": 15, ""SOURCE"": 113, ""SINK"": 0}",0.258719194651529,68.51989339901822,6.106226635438361e-15,128,0,INTERFACE,264.8427129317105,2.069083694778991,{},24,16,True,2048
165.52669558231926,0.17195592281037064,0.02846329568860901,L24_S990006,"{""PLANNED"": 20, ""SOURCE"": 12, ""SINK"": 0}",0.8804143247890981,58.29282957027125,5.995204332975845e-15,32,0,INTERFACE,66.21067823292768,2.069083694778991,{},24,64,True,2048
165.52669558231926,0.22838392251306072,0.03780363601771539,L24_S990006,"{""PLANNED"": 13, ""SOURCE"": 186, ""SINK"": 31}",0.018270713801045738,77.42184656428113,3.552713678800501e-15,2048,1818,DISPERSED,4237.483406907169,2.069083694778991,"{""NO_SINK_CAPACITY"": 1818}",24,1,True,2048
165.52669558231926,0.23425445021978292,0.03877536507033357,L24_S990006,"{""PLANNED"": 17, ""SOURCE"": 44, ""SINK"": 25}",0.07496142407033005,79.41194766404315,4.3298697960381105e-15,512,426,DISPERSED,1059.3708517268503,2.069083694778991,"{""NO_SINK_CAPACITY"": 426}",24,4,True,2048
165.52669558231926,0.222983190927689,0.036909670764661756,L24_S990006,"{""PLANNED"": 32, ""SOURCE"": 0, ""SINK"": 16}",0.28541848438744233,75.59100572602728,3.4416913763379853e-15,128,80,DISPERSED,264.8427129317105,2.069083694778991,"{""NO_SINK_CAPACITY"": 80}",24,16,True,2048
165.52669558231926,0.17306132456174556,0.028646269187805006,L24_S990006,"{""PLANNED"": 27, ""SOURCE"": 0, ""SINK"": 4}",0.8860739817561376,58.66755929662465,4.3298697960381105e-15,32,1,DISPERSED,66.21067823292768,2.069083694778991,"{""NO_SINK_CAPACITY"": 1}",24,64,True,2048
161.78420696355897,0.19868186342817065,0.03214358771276872,L24_S990007,"{""PLANNED"": 11, ""SOURCE"": 2037, ""SINK"": 0}",0.015894549074253146,65.83006763575034,3.6637359812630166e-15,2048,0,INTERFACE,4141.675698267241,2.022302587044487,{},24,1,True,2048
161.78420696355897,0.19469138049536744,0.03149799059608353,L24_S990007,"{""PLANNED"": 11, ""SOURCE"": 501, ""SINK"": 0}",0.06230124175851803,64.50788474077908,5.995204332975845e-15,512,0,INTERFACE,1035.4189245667699,2.022302587044487,{},24,4,True,2048
161.78420696355897,0.18297459596470766,0.02960239990262785,L24_S990007,"{""PLANNED"": 13, ""SOURCE"": 115, ""SINK"": 0}",0.23420748283482543,60.625715000581835,4.6629367034256575e-15,128,0,INTERFACE,258.8547311416948,2.022302587044487,{},24,16,True,2048
161.78420696355897,0.1571072272466733,0.025417468168346686,L24_S990007,"{""PLANNED"": 18, ""SOURCE"": 14, ""SINK"": 0}",0.8043890035029677,52.05497480877401,4.884981308350689e-15,32,0,INTERFACE,64.71368278542356,2.022302587044487,{},24,64,True,2048
161.78420696355897,0.22649667589065398,0.0366435850888517,L24_S990007,"{""PLANNED"": 11, ""SOURCE"": 216, ""SINK"": 27}",0.018119734071251743,75.04606226196829,5.329070518200751e-15,2048,1794,DISPERSED,4141.675698267241,2.022302587044487,"{""NO_SINK_CAPACITY"": 1794}",24,1,True,2048
161.78420696355897,0.23306464925572515,0.037706179451077515,L24_S990007,"{""PLANNED"": 14, ""SOURCE"": 52, ""SINK"": 23}",0.07458068776183259,77.22225551580675,5.773159728050814e-15,512,423,DISPERSED,1035.4189245667699,2.022302587044487,"{""NO_SINK_CAPACITY"": 423}",24,4,True,2048
161.78420696355897,0.23164342855998754,0.03747624838789741,L24_S990007,"{""PLANNED"": 33, ""SOURCE"": 0, ""SINK"": 18}",0.29650358855678355,76.7513566984139,4.551914400963142e-15,128,77,DISPERSED,258.8547311416948,2.022302587044487,"{""NO_SINK_CAPACITY"": 77}",24,16,True,2048
161.78420696355897,0.1827485301827446,0.029565826029371356,L24_S990007,"{""PLANNED"": 28, ""SOURCE"": 0, ""SINK"": 3}",0.9356724745356528,60.55081170815254,3.3306690738754696e-15,32,1,DISPERSED,64.71368278542356,2.022302587044487,"{""NO_SINK_CAPACITY"": 1}",24,64,True,2048
164.20597186225112,0.20989406331885316,0.034465858655389155,L24_S990008,"{""PLANNED"": 12, ""SOURCE"": 2025, ""SINK"": 0}",0.016791525065508548,70.58607852623699,2.9976021664879227e-15,2048,11,INTERFACE,4203.672879673554,2.052574648278139,"{""NO_SINK_CAPACITY"": 11}",24,1,True,2048
164.20597186225112,0.20612124123826361,0.03384633873898259,L24_S990008,"{""PLANNED"": 12, ""SOURCE"": 500, ""SINK"": 0}",0.0659587971962449,69.31730173743634,6.106226635438361e-15,512,0,INTERFACE,1050.9182199183986,2.052574648278139,{},24,4,True,2048
