track_id,start_step,end_step,start_time,end_time,tau,phenotype_continuity,material_retention,start_count,end_count,interval_has_ambiguity,interval_has_split_or_merge,unresolved_sparse_alias_risk,law_index,seed,snapshot_cadence,track_observations,track_ever_complex,clean_probe_cadence_count_same_endpoint,interval_observations,centroid_path_length,centroid_net_displacement,centroid_step_distance_mean,centroid_step_distance_max,start_material_count,end_material_count,retained_material_count,lost_material_count,gained_material_count,recomputed_material_retention,material_retention_absolute_error,descriptor_rms_change,recomputed_phenotype_continuity,phenotype_continuity_absolute_error,selected_edge_transitions,selected_centroid_distance_mean,selected_centroid_distance_max,compatible_unselected_edges,selected_score_margin_min,selected_classifications_json,static_occupancy_or_lookalike_alias_rejected,direct_audit_disposition
4,0,180,0.0,3.6,3.6,0.8280116806701624,0.3333333333333333,5,11,False,False,True,94,2001,60,11,False,2,4,0.18861112781791647,0.17797844191226683,0.06287037593930549,0.13512271416270946,5,11,4,1,7,0.3333333333333333,0.0,0.1887280176068133,0.8280116806701624,0.0,3,0.06287037593930549,0.13512271416270946,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
3,0,30,0.0,0.6,0.6,0.8016217320988046,0.4166666666666667,8,9,False,False,True,94,2002,10,61,False,2,4,0.14043517498372063,0.11533356220148919,0.046811724994573554,0.10309191531125053,8,9,5,3,4,0.4166666666666667,0.0,0.22111843811732818,0.8016217320988046,0.0,3,0.046811724994573554,0.10309191531125053,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
3,0,30,0.0,0.6,0.6,0.8016217320988046,0.4166666666666667,8,9,False,False,True,94,2002,30,21,False,2,2,0.11533356220148919,0.11533356220148919,0.11533356220148919,0.11533356220148919,8,9,5,3,4,0.4166666666666667,0.0,0.22111843811732818,0.8016217320988046,0.0,1,0.11533356220148919,0.11533356220148919,0,,"{""unique_candidate"": 1}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
9,60,240,1.2,4.8,3.5999999999999996,0.8640807335744808,0.4166666666666667,5,12,False,False,True,94,2002,30,20,False,2,7,0.1828677129540897,0.031712944973731935,0.030477952159014953,0.0874524595840067,5,12,5,0,7,0.4166666666666667,0.0,0.14608907290634868,0.8640807335744808,0.0,6,0.03047795215901497,0.0874524595840067,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
9,60,240,1.2,4.8,3.5999999999999996,0.8640807335744808,0.4166666666666667,5,12,False,False,True,94,2002,60,10,False,2,4,0.15672526802017128,0.031712944973731935,0.05224175600672376,0.09322132177187724,5,12,5,0,7,0.4166666666666667,0.0,0.14608907290634868,0.8640807335744808,0.0,3,0.05224175600672376,0.09322132177187724,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
1,0,180,0.0,3.6,3.6,0.9234458720807455,0.4444444444444444,4,9,False,False,True,209,2001,30,21,False,2,7,0.21773538961344266,0.08911602583563825,0.03628923160224044,0.14214845236233586,4,9,4,0,5,0.4444444444444444,0.0,0.07964309277606565,0.9234458720807455,0.0,6,0.036289231602240436,0.14214845236233584,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
1,0,180,0.0,3.6,3.6,0.9234458720807455,0.4444444444444444,4,9,False,False,True,209,2001,60,11,False,2,4,0.13147285693613545,0.08911602583563825,0.043824285645378484,0.10211800251892908,4,9,4,0,5,0.4444444444444444,0.0,0.07964309277606565,0.9234458720807455,0.0,3,0.04382428564537849,0.1021180025189291,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
5,0,180,0.0,3.6,3.6,0.8203199744872576,0.4,4,10,False,False,True,209,2003,30,21,False,2,7,0.254440399224974,0.05121307498077817,0.042406733204162335,0.11615465966016693,4,10,4,0,6,0.4,0.0,0.19806080204771068,0.8203199744872576,0.0,6,0.042406733204162356,0.11615465966016693,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
5,0,180,0.0,3.6,3.6,0.8203199744872576,0.4,4,10,False,False,True,209,2003,60,11,False,2,4,0.09454058851066684,0.05121307498077817,0.03151352950355561,0.0592313404417627,4,10,4,0,6,0.4,0.0,0.19806080204771068,0.8203199744872576,0.0,3,0.0315135295035556,0.05923134044176269,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
25,150,180,3.0,3.6,0.6000000000000001,0.8115599707219723,0.45454545454545453,24,24,False,False,True,225,2002,10,50,False,2,4,0.20980818319049194,0.14408304666694444,0.06993606106349731,0.1349418502125724,24,24,15,9,9,0.45454545454545453,0.0,0.20879699368352184,0.8115599707219723,0.0,3,0.06993606106349731,0.1349418502125724,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
1,150,180,3.0,3.6,0.6000000000000001,0.8115599707219723,0.45454545454545453,24,24,False,False,True,225,2002,30,21,False,2,2,0.14408304666694444,0.14408304666694444,0.14408304666694444,0.14408304666694444,24,24,15,9,9,0.45454545454545453,0.0,0.20879699368352184,0.8115599707219723,0.0,1,0.14408304666694444,0.14408304666694444,0,,"{""unique_candidate"": 1}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
2,0,180,0.0,3.6,3.6,0.8557118760811389,0.36363636363636365,5,10,False,False,True,225,2003,30,21,False,2,7,0.32618354336260075,0.19164970737791714,0.05436392389376679,0.10247624471337922,5,10,4,1,6,0.36363636363636365,0.0,0.15582155286381125,0.8557118760811389,0.0,6,0.05436392389376679,0.10247624471337917,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
2,0,180,0.0,3.6,3.6,0.8557118760811389,0.36363636363636365,5,10,False,False,True,225,2003,60,11,False,2,4,0.22015091488410712,0.19164970737791714,0.07338363829470236,0.11085412684336562,5,10,4,1,6,0.36363636363636365,0.0,0.15582155286381125,0.8557118760811389,0.0,3,0.07338363829470235,0.11085412684336562,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
54,330,360,6.6000000000000005,7.2,0.5999999999999996,0.8344648026429291,0.2857142857142857,5,4,False,False,True,298,2002,10,34,False,2,4,0.11000712093726338,0.08338138582708046,0.036669040312421124,0.09328726828512207,5,4,2,3,2,0.2857142857142857,0.0,0.18096471454934843,0.8344648026429291,0.0,3,0.036669040312421124,0.09328726828512207,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
34,330,360,6.6000000000000005,7.2,0.5999999999999996,0.8344648026429291,0.2857142857142857,5,4,False,False,True,298,2002,30,11,False,2,2,0.08338138582708046,0.08338138582708046,0.08338138582708046,0.08338138582708046,5,4,2,3,2,0.2857142857142857,0.0,0.18096471454934843,0.8344648026429291,0.0,1,0.08338138582708046,0.08338138582708046,0,,"{""unique_candidate"": 1}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
29,120,150,2.4,3.0,0.6000000000000001,0.8591923821326798,0.42857142857142855,4,6,False,False,True,298,2003,10,49,False,2,4,0.1519090058368592,0.1258861246325697,0.05063633527895306,0.10573490534994129,4,6,3,1,3,0.42857142857142855,0.0,0.15176242149975663,0.8591923821326798,0.0,3,0.05063633527895304,0.10573490534994129,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
12,120,150,2.4,3.0,0.6000000000000001,0.8591923821326798,0.42857142857142855,4,6,False,False,True,298,2003,30,18,False,2,2,0.1258861246325697,0.1258861246325697,0.1258861246325697,0.1258861246325697,4,6,3,1,3,0.42857142857142855,0.0,0.15176242149975663,0.8591923821326798,0.0,1,0.1258861246325697,0.1258861246325697,0,,"{""unique_candidate"": 1}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
