law_index,seed,snapshot_cadence,tracks,mean_track_observations,median_track_observations,mean_lifetime_steps,median_lifetime_steps,complex_tracks,birth_events,disappearance_events,continuity_events,split_events,merge_events,ambiguity_events
14,2001,10,97,3.2783505154639174,2.0,22.783505154639176,10.0,27,97,91,221,7,8,0
14,2001,30,52,2.0961538461538463,2.0,32.88461538461539,30.0,4,52,46,57,0,2,0
14,2001,60,36,1.5555555555555556,1.0,33.333333333333336,0.0,0,36,30,20,0,0,0
14,2002,10,81,3.567901234567901,3.0,25.679012345679013,20.0,17,81,78,208,6,4,3
14,2002,30,52,1.9807692307692308,1.5,29.423076923076923,15.0,11,52,49,51,2,3,1
14,2002,60,35,1.5142857142857142,1.0,30.857142857142858,0.0,4,35,32,18,2,0,0
14,2003,10,104,3.1346153846153846,2.0,21.346153846153847,10.0,31,104,98,222,5,12,1
14,2003,30,62,1.7419354838709677,1.0,22.258064516129032,0.0,2,62,56,46,1,0,0
14,2003,60,41,1.4146341463414633,1.0,24.878048780487806,0.0,2,41,35,17,1,0,0
15,2001,10,18,18.666666666666668,5.5,176.66666666666666,45.0,2,18,13,318,0,1,0
15,2001,30,14,8.642857142857142,2.5,229.28571428571428,45.0,2,14,9,107,0,1,0
15,2001,60,11,5.7272727272727275,4.0,283.6363636363636,180.0,2,11,6,52,0,1,0
15,2002,10,11,25.545454545454547,17.0,245.45454545454547,160.0,8,11,7,270,4,4,0
15,2002,30,8,11.875,11.0,326.25,300.0,5,8,4,87,1,3,0
15,2002,60,7,6.857142857142857,7.0,351.42857142857144,360.0,4,7,3,41,1,2,0
15,2003,10,12,23.666666666666668,8.5,226.66666666666666,75.0,5,12,8,272,3,2,0
15,2003,30,9,10.88888888888889,11.0,296.6666666666667,300.0,3,9,5,89,1,2,0
15,2003,60,8,6.5,8.0,330.0,420.0,3,8,4,44,1,2,0
16,2001,10,99,2.9696969696969697,2.0,19.696969696969695,10.0,11,99,94,195,3,4,1
16,2001,30,63,1.619047619047619,1.0,18.571428571428573,0.0,2,63,58,39,1,0,0
16,2001,60,42,1.2142857142857142,1.0,12.857142857142858,0.0,2,42,37,9,0,1,0
16,2002,10,109,2.8807339449541285,2.0,18.807339449541285,10.0,24,109,105,205,10,6,1
16,2002,30,69,1.5507246376811594,1.0,16.52173913043478,0.0,0,69,65,38,0,0,0
16,2002,60,34,1.5588235294117647,1.0,33.529411764705884,0.0,2,34,30,19,1,0,0
16,2003,10,118,2.5762711864406778,2.0,15.76271186440678,10.0,28,118,116,186,9,8,1
16,2003,30,57,1.8070175438596492,1.0,24.210526315789473,0.0,4,57,55,46,0,1,1
16,2003,60,41,1.2682926829268293,1.0,16.097560975609756,0.0,2,41,39,11,0,1,0
17,2001,10,35,8.885714285714286,2.0,78.85714285714286,10.0,10,35,31,276,3,5,0
17,2001,30,18,5.888888888888889,3.5,146.66666666666666,75.0,6,18,14,88,1,3,0
17,2001,60,14,3.9285714285714284,2.5,175.71428571428572,90.0,4,14,10,41,0,2,0
17,2002,10,26,12.115384615384615,3.5,111.15384615384616,25.0,12,26,24,289,3,7,0
17,2002,30,18,5.944444444444445,2.5,148.33333333333334,45.0,6,18,16,89,0,3,0
17,2002,60,16,3.5,1.5,150.0,30.0,6,16,14,40,1,3,0
17,2003,10,30,6.1,2.5,51.0,15.0,11,30,27,153,5,5,1
17,2003,30,19,3.5789473684210527,2.0,77.36842105263158,30.0,7,19,16,49,3,3,0
17,2003,60,13,2.6153846153846154,2.0,96.92307692307692,60.0,2,13,10,21,0,1,0
