track_id,start_step,end_step,start_time,end_time,tau,phenotype_continuity,material_retention,start_count,end_count,interval_has_ambiguity,interval_has_split_or_merge,unresolved_sparse_alias_risk,law_index,seed,snapshot_cadence,track_observations,track_ever_complex,clean_probe_cadence_count_same_endpoint,eligible_seed_count_for_law,eligible_law
4,0,180,0.0,3.6,3.6,0.8264715202612238,0.375,5,6,False,False,True,96,2003,30,21,False,2,1,False
4,0,180,0.0,3.6,3.6,0.8264715202612238,0.375,5,6,False,False,True,96,2003,60,11,False,2,1,False
8,240,420,4.8,8.4,3.6000000000000005,0.8649112995012205,0.375,9,13,False,False,True,111,2001,30,18,False,2,1,False
8,240,420,4.8,8.4,3.6000000000000005,0.8649112995012205,0.375,9,13,False,False,True,111,2001,60,8,False,2,1,False
8,240,420,4.8,8.4,3.6000000000000005,0.8883674345527636,0.4444444444444444,4,9,False,False,True,117,2001,30,13,False,2,1,False
6,240,420,4.8,8.4,3.6000000000000005,0.8883674345527636,0.4444444444444444,4,9,False,False,True,117,2001,60,8,False,2,1,False
10,180,360,3.6,7.2,3.6,0.8554718559070023,0.4,4,10,False,False,True,117,2001,30,16,False,2,1,False
8,180,360,3.6,7.2,3.6,0.8554718559070023,0.4,4,10,False,False,True,117,2001,60,8,False,2,1,False
13,60,120,1.2,2.4,1.2,0.8608921262873676,0.3333333333333333,4,8,False,False,True,120,2003,10,13,False,2,1,False
5,60,120,1.2,2.4,1.2,0.849504785387612,0.4375,10,13,False,False,True,120,2003,60,8,False,2,1,False
45,420,450,8.4,9.0,0.5999999999999996,0.8340799081328716,0.48,17,20,False,False,True,121,2001,10,12,False,2,1,False
37,420,450,8.4,9.0,0.5999999999999996,0.8340799081328716,0.48,17,20,False,False,True,121,2001,30,8,False,2,1,False
4,0,60,0.0,1.2,1.2,0.9017378094868821,0.42857142857142855,6,4,False,False,True,126,2002,10,61,False,2,1,False
0,0,60,0.0,1.2,1.2,0.8831490548197181,0.42857142857142855,4,6,False,False,True,126,2002,60,11,False,2,1,False
4,0,60,0.0,1.2,1.2,0.9017378094868821,0.42857142857142855,6,4,False,False,True,126,2002,60,11,False,2,1,False
0,0,180,0.0,3.6,3.6,0.8098519334766988,0.375,4,7,False,False,True,126,2002,30,21,False,2,1,False
4,0,180,0.0,3.6,3.6,0.865488214820849,0.42857142857142855,6,4,False,False,True,126,2002,30,21,False,2,1,False
