law_index,seed,snapshot_cadence,lag_snapshots,tau,rows,probe_rows,probe_fraction,mean_p,mean_m,p_min,p_max,m_min,m_max
5,2003,30,6,3.6,100,0,0.0,0.9272228569100307,0.9679444444444445,0.4024612619431731,0.9998647545045489,0.4166666666666667,1.0
5,2003,60,1,1.2,66,0,0.0,0.9515633715424751,0.9816919191919192,0.4061736650058205,0.9999808634125873,0.4166666666666667,1.0
5,2003,60,3,3.6,52,0,0.0,0.9278636561431071,0.969551282051282,0.4024612619431731,0.9998309374523663,0.4166666666666667,1.0
5,2003,60,6,7.2,31,0,0.0,0.8757986130195604,0.9489247311827956,0.39875630033193776,0.9964897083757248,0.4166666666666667,1.0
6,2001,10,1,0.2,238,2,0.008403361344537815,0.8253798671979758,0.8055999524486209,0.23506024811500031,0.9858157164539051,0.3076923076923077,1.0
6,2001,10,3,0.6,157,11,0.07006369426751592,0.7590738494775647,0.6281481549813868,0.2827683176065972,0.9498240755499524,0.047619047619047616,1.0
6,2001,10,6,1.2,90,4,0.044444444444444446,0.7355998332845096,0.5157194586235624,0.3424359077189645,0.9301587487456261,0.0,1.0
6,2001,30,1,0.6,73,2,0.0273972602739726,0.7727770195473775,0.6489294261507819,0.33951524878585004,0.9498240755499524,0.2,1.0
6,2001,30,3,1.8,32,4,0.125,0.7267382695347461,0.4383569736606609,0.35190132928064083,0.9225657789325865,0.1111111111111111,0.875
6,2001,30,6,3.6,9,1,0.1111111111111111,0.682734727493862,0.38260866644853575,0.4717372432902183,0.8414520577465426,0.20588235294117646,0.5
6,2001,60,1,1.2,26,0,0.0,0.7266588686924808,0.48303164026947903,0.49767814408550665,0.919152065482575,0.16666666666666666,1.0
6,2001,60,3,3.6,7,1,0.14285714285714285,0.7091762625681378,0.3620030487111232,0.6158164302359154,0.8414520577465426,0.21739130434782608,0.5
6,2001,60,6,7.2,2,0,0.0,0.717044088363147,0.178125,0.6982859691043877,0.7358022076219064,0.15625,0.2
6,2002,10,1,0.2,262,1,0.003816793893129771,0.8685635630199127,0.8792227028738698,0.510428052578926,0.9979607290966701,0.3333333333333333,1.0
6,2002,10,3,0.6,192,3,0.015625,0.7926206059607573,0.734746954116615,0.39445061328755354,0.9949067400262044,0.0,1.0
6,2002,10,6,1.2,132,4,0.030303030303030304,0.7668546943712586,0.6201154312546908,0.3911570068125158,0.9815447985219293,0.0,1.0
6,2002,30,1,0.6,69,0,0.0,0.7933056493530428,0.7477260000891001,0.41807978198224016,0.9949067400262044,0.1111111111111111,1.0
6,2002,30,3,1.8,30,1,0.03333333333333333,0.7743703497469183,0.6295096317115954,0.5616048733126877,0.9809279306050951,0.05555555555555555,1.0
6,2002,30,6,3.6,13,1,0.07692307692307693,0.8522868040473216,0.7058505917159763,0.6404368917996736,0.948505394990701,0.25,0.875
6,2002,60,1,1.2,28,0,0.0,0.7613578776413175,0.6347344052925156,0.5283259423073436,0.9815447985219293,0.3333333333333333,1.0
6,2002,60,3,3.6,7,1,0.14285714285714285,0.864317767882415,0.7005337519623234,0.7946966320488537,0.9477059688316597,0.25,0.875
6,2003,10,1,0.2,284,2,0.007042253521126761,0.856145018008658,0.855598698949647,0.512457411033083,0.9925436396234348,0.2727272727272727,1.0
6,2003,10,3,0.6,218,2,0.009174311926605505,0.7974780180684524,0.7236223176824106,0.4489206371645212,0.9788983772683687,0.0625,1.0
6,2003,10,6,1.2,153,1,0.006535947712418301,0.7692400680868644,0.6317162709468821,0.4454059782877235,0.9594079041254403,0.0,1.0
6,2003,30,1,0.6,86,2,0.023255813953488372,0.7818437500946049,0.732538614462834,0.41557975079078435,0.976582907968125,0.25,1.0
6,2003,30,3,1.8,54,4,0.07407407407407407,0.7484119037941752,0.568896952761329,0.4235912737674242,0.9418744476487578,0.18518518518518517,1.0
6,2003,30,6,3.6,32,4,0.125,0.7325864012732031,0.4409012111305997,0.4579230941801067,0.9160550761390814,0.16129032258064516,0.7142857142857143
6,2003,60,1,1.2,32,0,0.0,0.7449410193040061,0.5910413249161538,0.5004995769775472,0.9531492201689549,0.18181818181818182,1.0
6,2003,60,3,3.6,12,2,0.16666666666666666,0.7236527728154981,0.3721288462056713,0.557923253190748,0.9160550761390814,0.10526315789473684,0.5714285714285714
6,2003,60,6,7.2,1,0,0.0,0.6912450148078884,0.36363636363636365,0.6912450148078884,0.6912450148078884,0.36363636363636365,0.36363636363636365
7,2001,10,1,0.2,334,0,0.0,0.9031318042352672,0.9394030572252753,0.38077706744796225,0.9995249022909207,0.21052631578947367,1.0
7,2001,10,3,0.6,296,0,0.0,0.842166101877725,0.8740714780682729,0.3907390650676784,0.9996083894817612,0.0,1.0
7,2001,10,6,1.2,250,0,0.0,0.8060707531806319,0.8110039004035505,0.40525563275794924,0.9989223193356648,0.0,1.0
7,2001,30,1,0.6,89,0,0.0,0.8426380402679773,0.8691440697728311,0.5057381600118327,0.9996083894817612,0.0,1.0
7,2001,30,3,1.8,60,0,0.0,0.8296272688222182,0.8241930128694832,0.5074682438344177,0.9954264199267265,0.0,1.0
7,2001,30,6,3.6,36,0,0.0,0.7993433133606325,0.8045257030551148,0.5119593010873196,0.981595161170442,0.0,1.0
7,2001,60,1,1.2,43,0,0.0,0.7915893233655107,0.7743600468778666,0.4001273668884762,0.9982705524875675,0.0,1.0
7,2001,60,3,3.6,23,1,0.043478260869565216,0.7889276848099732,0.7416925927156106,0.5156602239431903,0.9716646304171099,0.0,1.0
7,2001,60,6,7.2,8,0,0.0,0.7240862970806503,0.6988795518207283,0.5404940769699933,0.8759976313619822,0.09523809523809523,1.0
7,2002,10,1,0.2,263,0,0.0,0.9081710968500424,0.9513845237868443,0.525566531578609,0.9983003770490104,0.3076923076923077,1.0
7,2002,10,3,0.6,232,3,0.01293103448275862,0.8622946692866301,0.9198214886702856,0.3696441753832138,0.9961549590187937,0.19047619047619047,1.0
7,2002,10,6,1.2,193,2,0.010362694300518135,0.84330931350634,0.9108783451245449,0.25313688797216266,0.9967188673451061,0.13333333333333333,1.0
7,2002,30,1,0.6,75,0,0.0,0.8655594169831881,0.9127255069324036,0.447428722457599,0.9897594899307788,0.3076923076923077,1.0
7,2002,30,3,1.8,54,0,0.0,0.8524245448246922,0.8852316939481689,0.4961879781907207,0.9905111134018286,0.1724137931034483,1.0
