L,attempted,axis,balance_error,coast_survival,deficit,first_failure_time,first_failure_type,fresh_frac_1536,fresh_frac_2048,initial_microstate_sha256,intervention,joint_exchange_persistence_1536,joint_exchange_persistence_2048,law,mass_1536,mass_2048,realized,residual_1536,residual_2048,seed,survival_1536,survival_2048,survival_256,t256_area,t256_checkpoint_sha256,t256_mass,t256_residual,t256_status,unique_egress_cells,unique_ingress_cells
24,404,+y,0.0,False,324,528,TRACK_LOST_OR_DISSOLVED,nan,nan,077bc9ba9899533166b9808c532048b81e4b27bafa03a0f8151ddb96e17397f8,FLOW_2N,False,False,LAW_16,0.0,0.0,80,nan,nan,940006,False,False,True,213,e0fbf029148c487d02df3ed2293472b2db8e578559f60c4d414580ef07863af0,167.7723715156805,0.9591477449627843,T256_VALID_TRACK,80,0.010573018403081115
24,808,+y,0.0,False,728,400,TRACK_LOST_OR_DISSOLVED,nan,nan,077bc9ba9899533166b9808c532048b81e4b27bafa03a0f8151ddb96e17397f8,FLOW_4N,False,False,LAW_16,0.0,0.0,80,nan,nan,940006,False,False,True,213,e0fbf029148c487d02df3ed2293472b2db8e578559f60c4d414580ef07863af0,167.7723715156805,0.9591477449627843,T256_VALID_TRACK,80,0.0021648629732012774
24,404,-y,0.0,True,404,,NONE,0.0,0.0,4462c2a8f0e6e04fac6de77e4bf5a70e822c5463fb829c9423569e1c77c2a5b9,SHAM,False,False,BASELINE_SWEEP00,78.41724495390152,35.739545872234565,0,0.746635339091103,0.7268472446750146,940007,True,True,True,212,f304a138902a94934fa1c175d447e249849e71febcf7f2255950c5732314e669,129.97040360779533,0.9094063662260146,T256_VALID_TRACK,0,0.0
24,404,-y,0.0,False,358,368,TRACK_LOST_OR_DISSOLVED,nan,0.12149694982836572,4462c2a8f0e6e04fac6de77e4bf5a70e822c5463fb829c9423569e1c77c2a5b9,FLOW_2N,False,False,BASELINE_SWEEP00,0.0,22.545996246598094,46,nan,0.5506464881952857,940007,False,False,True,212,f304a138902a94934fa1c175d447e249849e71febcf7f2255950c5732314e669,129.97040360779533,0.9094063662260146,T256_VALID_TRACK,46,17.973487037337254
24,808,-y,0.0,False,754,320,TRACK_LOST_OR_DISSOLVED,nan,0.13912057613670425,4462c2a8f0e6e04fac6de77e4bf5a70e822c5463fb829c9423569e1c77c2a5b9,FLOW_4N,False,False,BASELINE_SWEEP00,0.0,64.4158550264935,54,nan,0.5413365373544247,940007,False,False,True,212,f304a138902a94934fa1c175d447e249849e71febcf7f2255950c5732314e669,129.97040360779533,0.9094063662260146,T256_VALID_TRACK,54,22.434127370344047
24,404,-y,0.0,True,404,,NONE,0.0,0.0,4462c2a8f0e6e04fac6de77e4bf5a70e822c5463fb829c9423569e1c77c2a5b9,SHAM,False,False,LAW_16,167.58674238139164,167.06609355490394,0,0.8874554497999896,0.8706964603250866,940007,True,True,True,217,5e41770fdc3722474b32ccd989524facb948bf37d29e830c89a30037c292627f,169.3900403189237,0.9537853775321373,T256_VALID_TRACK,0,0.0
24,404,-y,0.0,False,374,368,TRACK_LOST_OR_DISSOLVED,nan,0.06660896648334692,4462c2a8f0e6e04fac6de77e4bf5a70e822c5463fb829c9423569e1c77c2a5b9,FLOW_2N,False,False,LAW_16,0.0,164.81935718683417,30,nan,0.7713907582630853,940007,False,False,True,217,5e41770fdc3722474b32ccd989524facb948bf37d29e830c89a30037c292627f,169.3900403189237,0.9537853775321373,T256_VALID_TRACK,30,19.922950241867056
24,808,-y,0.0,False,768,320,TRACK_LOST_OR_DISSOLVED,nan,nan,4462c2a8f0e6e04fac6de77e4bf5a70e822c5463fb829c9423569e1c77c2a5b9,FLOW_4N,False,False,LAW_16,0.0,0.0,40,nan,nan,940007,False,False,True,217,5e41770fdc3722474b32ccd989524facb948bf37d29e830c89a30037c292627f,169.3900403189237,0.9537853775321373,T256_VALID_TRACK,40,19.489734304761647
24,404,+x,0.0,False,404,1888,TRACK_LOST_OR_DISSOLVED,0.0,nan,3c8f9f10455577180411370d5bc2641aae90ad3633121d5c6ab80c2e740729e5,SHAM,False,False,BASELINE_SWEEP00,43.43364712664945,0.0,0,0.7659740888358567,nan,940008,True,False,True,201,93ef8813bb704e0d1d08f8ffc6e10916ce2bcf92d46e33c3d866a2fdac9f3026,122.36093403931226,0.916828831798128,T256_VALID_TRACK,0,0.0
24,404,+x,0.0,False,344,448,TRACK_LOST_OR_DISSOLVED,nan,nan,3c8f9f10455577180411370d5bc2641aae90ad3633121d5c6ab80c2e740729e5,FLOW_2N,False,False,BASELINE_SWEEP00,0.0,0.0,60,nan,nan,940008,False,False,True,201,93ef8813bb704e0d1d08f8ffc6e10916ce2bcf92d46e33c3d866a2fdac9f3026,122.36093403931226,0.916828831798128,T256_VALID_TRACK,60,24.926664911806732
24,808,+x,0.0,False,740,368,TRACK_LOST_OR_DISSOLVED,nan,nan,3c8f9f10455577180411370d5bc2641aae90ad3633121d5c6ab80c2e740729e5,FLOW_4N,False,False,BASELINE_SWEEP00,0.0,0.0,68,nan,nan,940008,False,False,True,201,93ef8813bb704e0d1d08f8ffc6e10916ce2bcf92d46e33c3d866a2fdac9f3026,122.36093403931226,0.916828831798128,T256_VALID_TRACK,68,27.685812994366877
24,404,+x,0.0,True,404,,NONE,0.0,0.0,3c8f9f10455577180411370d5bc2641aae90ad3633121d5c6ab80c2e740729e5,SHAM,False,False,LAW_16,161.8527445113129,161.27346558185155,0,0.8934511618792165,0.876465838443848,940008,True,True,True,213,3deb8ad5193866d0941aa4a1becdca9105554dc678616028d5f6e857ffe3f856,165.00904587915542,0.9571470296868415,T256_VALID_TRACK,0,0.0
24,404,+x,0.0,False,305,624,TRACK_LOST_OR_DISSOLVED,nan,nan,3c8f9f10455577180411370d5bc2641aae90ad3633121d5c6ab80c2e740729e5,FLOW_2N,False,False,LAW_16,0.0,0.0,99,nan,nan,940008,False,False,True,213,3deb8ad5193866d0941aa4a1becdca9105554dc678616028d5f6e857ffe3f856,165.00904587915542,0.9571470296868415,T256_VALID_TRACK,99,0.005256447261208421
24,808,+x,0.0,False,709,1056,TRACK_LOST_OR_DISSOLVED,nan,nan,3c8f9f10455577180411370d5bc2641aae90ad3633121d5c6ab80c2e740729e5,FLOW_4N,False,False,LAW_16,0.0,0.0,99,nan,nan,940008,False,False,True,213,3deb8ad5193866d0941aa4a1becdca9105554dc678616028d5f6e857ffe3f856,165.00904587915542,0.9571470296868415,T256_VALID_TRACK,99,0.42556457395260816
24,404,-x,0.0,True,404,,NONE,0.0,0.0,b48fc084aacda8303967a3a8ea2d567802616fd57409f7d144e118e61ce172d2,SHAM,False,False,BASELINE_SWEEP00,59.75240702203388,3.1521471803558305,0,0.7601915177665762,0.7431564798468066,940009,True,True,True,211,2eeaadb8a98c4f719af0839e4985b50ed1d5dafbc5627c0b0d33a0a3dd43050b,128.95442202629891,0.9102803436825696,T256_VALID_TRACK,0,0.0
24,404,-x,0.0,False,340,448,TRACK_LOST_OR_DISSOLVED,0.1286537016416447,nan,b48fc084aacda8303967a3a8ea2d567802616fd57409f7d144e118e61ce172d2,FLOW_2N,False,False,BASELINE_SWEEP00,8.108144701744402,0.0,64,0.5887852654733768,nan,940009,False,False,True,211,2eeaadb8a98c4f719af0839e4985b50ed1d5dafbc5627c0b0d33a0a3dd43050b,128.95442202629891,0.9102803436825696,T256_VALID_TRACK,64,27.36281602139596
24,808,-x,0.0,False,737,368,TRACK_LOST_OR_DISSOLVED,0.15293682716203852,nan,b48fc084aacda8303967a3a8ea2d567802616fd57409f7d144e118e61ce172d2,FLOW_4N,False,False,BASELINE_SWEEP00,19.416582688871888,0.0,71,0.5650084868069959,nan,940009,False,False,True,211,2eeaadb8a98c4f719af0839e4985b50ed1d5dafbc5627c0b0d33a0a3dd43050b,128.95442202629891,0.9102803436825696,T256_VALID_TRACK,71,33.712326624502396
