law_index,condition,seed,n_meas,mean_P,mean_M,min_M,probe_count,eligible_seed,n_tracks,max_track_obs,long_tracks,mean_production,mean_activity,mean_entities
10,CLOSED,10003,75,0.9948469934669592,0.9927937459122647,0.4661936946736595,0,False,8,28,1,0.007827975126007755,0.007263833059729978,1.1612903225806452
10,OPEN,10001,248,0.9263972976481808,0.48582228597560356,1.0820718711278885e-08,95,True,56,19,5,0.028642595329777306,0.0019392806288710122,6.258064516129032
10,OPEN,10002,610,0.9103687105013251,0.44453113776870473,8.065391216501891e-09,238,True,51,25,16,0.02826511605603708,0.0017485486063533707,10.870967741935484
10,OPEN,10003,507,0.9231219023989891,0.4744495577632628,8.080365777224043e-09,193,True,63,18,14,0.028247884694052046,0.001731115375613702,10.258064516129032
11,CLOSED,10001,80,0.9777802570093318,0.9668666122501424,0.36056029165041537,0,False,6,30,1,0.005282996988321596,0.004844943341491666,1.1290322580645162
11,CLOSED,10002,80,0.9730230901737709,0.9638653957103724,0.25224028402394527,0,False,6,30,1,0.005114455885885123,0.004615435997918781,1.1290322580645162
11,CLOSED,10003,75,0.9947907231059626,0.992889777945384,0.4703703462593647,0,False,7,28,1,0.0053839738882180644,0.004920007434438425,1.1290322580645162
11,OPEN,10001,1453,0.9175953509904939,0.43611747064355794,3.0330121956094707e-11,646,True,55,31,39,0.05645835321806706,0.0036681441034462484,21.0
11,OPEN,10002,1523,0.9144645641349792,0.42768724488626936,1.4575390038953784e-11,670,True,53,31,42,0.056574145210824794,0.0036913949222421145,21.548387096774192
11,OPEN,10003,1086,0.9169494978545822,0.43585860586297,4.296889696320587e-11,479,True,39,31,27,0.05618750321854253,0.0037348046895948036,15.516129032258064
12,CLOSED,10001,80,0.9785929883801845,0.9691984778993408,0.38058279060414224,0,False,6,30,1,0.005584064912547177,0.005003245156054288,1.1290322580645162
12,CLOSED,10002,80,0.9737380658051066,0.9657274399380759,0.2679915417507825,0,False,5,30,1,0.00364454377877252,0.0031443250923536923,1.096774193548387
12,CLOSED,10003,75,0.9946586946039205,0.9928248784442862,0.4633810343961004,0,False,7,28,1,0.005646522198707797,0.005037720427070224,1.1290322580645162
12,OPEN,10001,0,,,1.0,0,False,4,1,0,0.03533043120205505,0.00820584654316652,0.12903225806451613
12,OPEN,10002,0,,,1.0,0,False,3,1,0,0.035575739943841715,0.008680441225466585,0.0967741935483871
12,OPEN,10003,0,,,1.0,0,False,4,1,0,0.03635410551084376,0.008230408605796644,0.12903225806451613
13,CLOSED,10001,75,0.9950120947230395,0.9928468016693285,0.463510125199686,0,False,6,28,1,0.00455741453177114,0.0036718772960114693,1.096774193548387
13,CLOSED,10002,75,0.9931583035257788,0.9910362011359904,0.3277150851993382,0,False,6,28,1,0.0038162911179168775,0.0030071512853417776,1.096774193548387
13,CLOSED,10003,75,0.9943809411628466,0.9923862904877688,0.42897178660923746,0,False,7,28,1,0.00628187170774523,0.005325356383974231,1.1290322580645162
13,OPEN,10001,21,0.898482668443416,0.650937474775106,1.8274581964402723e-06,2,False,23,7,0,0.03674403327541954,0.0038017639562588756,1.1935483870967742
13,OPEN,10002,31,0.8709448940383365,0.4887808062634633,1.1202393868561725e-09,6,True,19,9,1,0.037147804736859615,0.003763153785850135,1.2258064516129032
13,OPEN,10003,30,0.8138957733479194,0.5222239258459688,1.7419748489391578e-08,3,True,18,11,1,0.03617960854069509,0.003795114928775096,1.096774193548387
14,CLOSED,10001,75,0.9951803021780976,0.9929776861755335,0.47332646316506993,0,False,6,28,1,0.004524981736299542,0.003525025194997352,1.096774193548387
14,CLOSED,10002,75,0.993329101620961,0.9911796231557001,0.3384717366775524,0,False,6,28,1,0.003779285986964492,0.002854440756136705,1.096774193548387
14,CLOSED,10003,75,0.9943386491717141,0.9924307066929181,0.43230300196896754,0,False,7,28,1,0.006864807677699096,0.005721753693269342,1.1290322580645162
14,OPEN,10001,185,0.9504393583810686,0.4172544037677642,2.7723210732827864e-06,97,True,7,31,4,0.030059010223986122,0.0025875244795695476,2.5161290322580645
14,OPEN,10002,246,0.9543115969319799,0.4011342739351761,1.4782932346591063e-06,134,True,4,31,3,0.02972010822030709,0.0024871606854825618,3.0
14,OPEN,10003,99,0.9446913751595875,0.4148094265538471,3.455289870758157e-06,51,True,7,17,3,0.03027673588379975,0.002800669829912473,1.5161290322580645
15,CLOSED,10001,75,0.9952309264157154,0.9930410525487284,0.47807894115467964,0,False,6,28,1,0.004493998142134915,0.0034188180268294307,1.096774193548387
15,CLOSED,10002,75,0.9933564682378886,0.991271688324836,0.3453766243627636,0,False,6,28,1,0.0037783785881180493,0.002828048594344774,1.096774193548387
15,CLOSED,10003,75,0.9941305714820049,0.992408756492892,0.43065673696696166,0,False,7,28,1,0.00780580638608886,0.006553928872318865,1.1290322580645162
15,OPEN,10001,0,,,1.0,0,False,4,1,0,0.03533043120205505,0.008048545048731183,0.12903225806451613
15,OPEN,10002,0,,,1.0,0,False,3,1,0,0.035575739943841715,0.010207268388197646,0.0967741935483871
15,OPEN,10003,0,,,1.0,0,False,4,1,0,0.03635410551084376,0.007316412699662102,0.12903225806451613
16,CLOSED,10001,74,0.9994314828041466,0.9999999999999992,0.9999999999999972,0,False,7,28,1,0.004483515618820442,0.0033259117282180874,1.096774193548387
16,CLOSED,10002,75,0.9955773017107663,0.9939018199750617,0.5426364981296713,0,False,5,28,1,0.0035929305174505796,0.0025436652956441286,1.064516129032258
16,CLOSED,10003,75,0.9942300085889734,0.9924426134102572,0.4331960057693547,0,False,7,28,1,0.007942578990786256,0.006629760507193204,1.1290322580645162
16,OPEN,10001,205,0.9011878263333949,0.3852794500393937,0.002937714923740106,107,True,30,25,5,0.02166796238318355,0.001833919152691209,4.225806451612903
16,OPEN,10002,162,0.8845891213744956,0.41661722489704284,0.003473092544518979,74,True,35,13,4,0.021394371211175194,0.0017755446898961662,4.064516129032258
16,OPEN,10003,203,0.9012868012971843,0.4041774773908492,0.0018200661570414354,101,True,27,16,7,0.021421793341617094,0.0016826860481598794,4.354838709677419
17,CLOSED,10001,77,0.98871314426554,0.9847028856401526,0.6087240292838336,0,False,10,29,1,0.012088656140243317,0.011586538572793908,1.2258064516129032
17,CLOSED,10002,77,0.9888301039044834,0.9872267824970543,0.6724613582757593,0,False,11,29,1,0.011073547384909538,0.01157252256909176,1.2580645161290323
17,CLOSED,10003,75,0.9939142341731082,0.9929829569999937,0.4871704789353721,0,False,8,28,1,0.006928691451401469,0.007105031569617383,1.1612903225806452
17,OPEN,10001,4033,0.9456538522115002,0.43799176930367417,3.8643433915943175e-12,1955,False,105,30,84,0.0515429587655641,0.0028941374788968533,53.903225806451616
17,OPEN,10002,4035,0.9477966252636503,0.44310104467013683,6.287990677478574e-12,1945,False,103,25,83,0.05157994139870644,0.0028813904541013548,53.83870967741935
17,OPEN,10003,3301,0.9359693197532384,0.44245724951620763,6.8785503638698525e-12,1533,False,109,30,78,0.051185398999681116,0.0029581430598700073,46.193548387096776
18,CLOSED,10001,75,0.9956989635447713,0.9931743438880799,0.48807579187661143,0,False,7,28,1,0.0052640855297662065,0.004748185991357082,1.1290322580645162
18,CLOSED,10002,75,0.993602932403258,0.9908075888225335,0.31056951910350494,0,False,7,28,1,0.006324103289940078,0.00576043008103535,1.1290322580645162
18,CLOSED,10003,75,0.9948534407173113,0.9926322371686501,0.449266854049651,0,False,7,28,1,0.005607098056474772,0.005059379663694139,1.1290322580645162
18,OPEN,10001,0,,,1.0,0,False,4,1,0,0.03533043120205505,0.007580304679037014,0.12903225806451613
18,OPEN,10002,0,,,1.0,0,False,3,1,0,0.035575739943841715,0.00755645693916072,0.0967741935483871
18,OPEN,10003,0,,,1.0,0,False,4,1,0,0.03635410551084376,0.007921096758449458,0.12903225806451613
19,CLOSED,10001,75,0.9953692775324134,0.9931079429085305,0.48309571814025437,0,False,7,28,1,0.005506246115514759,0.004905398749545404,1.1290322580645162
19,CLOSED,10002,75,0.9935113637181049,0.9909134723417591,0.31851042713340244,0,False,6,28,1,0.003768987279561803,0.0032258932220966367,1.096774193548387
19,CLOSED,10003,75,0.9947928408206999,0.9926153170193163,0.4468177416885191,0,False,7,28,1,0.005575579900462234,0.004967240883354941,1.1290322580645162
19,OPEN,10001,60,0.9126809176293141,0.46476098099585805,1.6370500077789802e-10,22,True,14,19,1,0.03800847397640787,0.0037855230243874394,1.3548387096774193
19,OPEN,10002,75,0.8828155866255872,0.43084623686267776,2.0726965646621487e-10,26,True,11,19,2,0.03838301381430562,0.0037821857266267626,1.4516129032258065
19,OPEN,10003,65,0.86006664912344,0.38988293341195057,2.5136804380380234e-10,20,True,11,25,1,0.037053206130657566,0.003788087937323787,1.1290322580645162
20,CLOSED,10001,75,0.9953418272400317,0.9930011596149114,0.4750869711184163,0,False,6,28,1,0.004501356451342934,0.0037261771805236665,1.096774193548387
20,CLOSED,10002,75,0.9935630939966761,0.9910596932380116,0.32947699285401727,0,False,6,28,1,0.003704687888005719,0.003000128930421445,1.096774193548387
