world,point,seed,split,stop,kY,muY,steps,first_birth,n_births,extinct,first_S,first_P,n_S_episodes,max_S_duration,integrity_ok,median_separation_during_S,dur_ok_T_50,noP_ok_T_50,resp_ok_T_50,event_step_T_50,weak_centre_X_ratio_T_50,P_before_event_T_50,newer_centre_is_weaker_T_50,joint_timing_T_50,PRIMARY_SUCCESS_T_50,dur_ok_T_primary,noP_ok_T_primary,resp_ok_T_primary,event_step_T_primary,weak_centre_X_ratio_T_primary,P_before_event_T_primary,newer_centre_is_weaker_T_primary,joint_timing_T_primary,PRIMARY_SUCCESS_T_primary,dur_ok_T_80,noP_ok_T_80,resp_ok_T_80,event_step_T_80,weak_centre_X_ratio_T_80,P_before_event_T_80,newer_centre_is_weaker_T_80,joint_timing_T_80,PRIMARY_SUCCESS_T_80,dur_ok_T_90,noP_ok_T_90,resp_ok_T_90,event_step_T_90,weak_centre_X_ratio_T_90,P_before_event_T_90,newer_centre_is_weaker_T_90,joint_timing_T_90,PRIMARY_SUCCESS_T_90,PRIMARY_SUCCESS
F_B1_i149_s965452864,B1,965452864,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,1674,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i150_s940483003,B1,940483003,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,-1,0,False,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i151_s985710760,B1,985710760,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,-1,0,False,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i152_s968245585,B1,968245585,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,5338,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i153_s940215959,B1,940215959,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,7506,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i154_s952442846,B1,952442846,FDFLT01_PRIMARY,PREMATURE_THIRD_CENTRE,2.5118864315095822e-05,9.261187281287937e-05,6596,4132,2,False,4220,6595,8,1850,True,16.278820596099706,True,True,True,4917,0.6438356164383562,False,,True,True,True,True,True,4994,0.828125,False,,True,True,True,True,False,5146,0.5742574257425742,False,,True,False,True,True,True,5319,0.9117647058823529,False,,True,True,True
F_B1_i155_s966585865,B1,966585865,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,1040,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i156_s941343422,B1,941343422,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,639,1,False,762,-1,6,7308,True,15.811388300841896,True,True,True,1015,0.6,False,,True,True,True,True,True,1092,0.8888888888888888,False,,True,True,True,True,True,1244,0.8333333333333334,False,,True,True,True,True,False,1417,0.8214285714285714,False,,True,False,True
F_B1_i157_s985797243,B1,985797243,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,1458,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i158_s960801904,B1,960801904,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,-1,0,False,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
