world,seed,split,steps_recorded,stop,E_w_mean_Q_founder,S_w_q10_Q_founder,q25,median,q90,max,frac_zero_Q,mean_cand_Y_founder,mean_field_Q_POSITION,mean_nSY,mean_free,mean_N_X,distinct_source_cells,iat_Q_founder,max_zero_run,max_high_run
A_A0_i017_s941818973,941818973,DISCOVERY,11000,HORIZON,2.5416666666666665,0.0,0.0,0.0,8.0,28.0,0.6634444444444444,0.6663333333333333,0.21167352537722908,2.9527884087791496,9.996141975308642,117.25177777777778,244,6.915637716313067,66,16
A_A0_i018_s968793083,968793083,DISCOVERY,11000,HORIZON,2.772777777777778,0.0,0.0,0.0,10.0,28.0,0.6645555555555556,0.8531111111111112,0.22851123113854596,2.948827846364883,9.996141975308642,125.46966666666667,334,9.629995387099633,267,17
A_A0_i019_s986202838,986202838,DISCOVERY,11000,HORIZON,2.633777777777778,0.0,0.0,0.0,9.0,28.0,0.665,0.687,0.2142013888888889,2.952097307956104,9.996141975308642,117.84088888888888,247,7.572958031421091,63,15
A_A0_i020_s983192947,983192947,DISCOVERY,11000,HORIZON,2.4914444444444444,0.0,0.0,0.0,8.0,28.0,0.6657777777777778,0.7775555555555556,0.22013117283950617,2.952237997256516,9.996141975308642,120.70488888888889,271,5.537658882745006,106,16
A_A0_i021_s950424325,950424325,DISCOVERY,11000,HORIZON,2.7554444444444446,0.0,0.0,0.0,10.0,28.0,0.6572222222222223,0.808,0.22514334705075445,2.948607424554184,9.996141975308642,122.08711111111111,351,6.211350910563589,166,16
A_A0_i022_s951640143,951640143,DISCOVERY,11000,HORIZON,0.0003333333333333333,0.0,0.0,0.0,0.0,2.0,0.9997777777777778,2.848888888888889,0.007491426611796982,2.9995274348422494,9.996141975308642,3.546777777777778,368,1.7997599075370796,8996,0
A_A0_i023_s975431620,975431620,VALIDATION,11000,HORIZON,1.0823333333333334,0.0,0.0,0.0,4.0,27.0,0.868,2.0835555555555554,0.09283247599451303,2.9816228566529492,9.996141975308642,49.666222222222224,412,438.7064053074487,5688,12
A_A0_i024_s948649467,948649467,DISCOVERY,11000,HORIZON,2.6696666666666666,0.0,0.0,0.0,9.0,28.0,0.6546666666666666,0.6714444444444444,0.21652520576131687,2.951813614540466,9.996141975308642,121.42444444444445,289,5.54614582441541,54,14
A_A0_i025_s976923327,976923327,DISCOVERY,11000,HORIZON,2.5263333333333335,0.0,0.0,0.0,9.0,28.0,0.6714444444444444,0.8821111111111111,0.20762800068587106,2.9530256344307273,9.996141975308642,113.98644444444444,334,6.498133966765675,183,19
A_A0_i026_s974306448,974306448,VALIDATION,11000,HORIZON,2.526222222222222,0.0,0.0,0.0,8.0,28.0,0.6661111111111111,0.7143333333333334,0.21444135802469136,2.9535698731138544,9.996141975308642,120.15955555555556,334,5.244117325660428,70,18
