seed,eligible,deep_reached,rest_assay_valid,deep_assay_valid,valid,reason,censored,censoring_reason,g0_rest_valid,g0_deep_valid,g0_status,event_classification,raw_tracker_status,event_step,deep_snapshot_step,M_0,M_1,M_2,rest_tracked_entity_sizes,deep_tracked_entity_sizes,event_parent_entity_sizes,raw_sha256,raw_inputs,generating_script
54033,False,False,False,False,False,fewer_than_three_geometrically_eligible_targets,True,fewer_than_three_geometrically_eligible_targets,False,False,FAIL,,,,,,,,,,,83d278b4b4c2aebd7a0405f1cb959807ca524d152a013ee5c0bfe111a8006cad,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54034,True,True,True,True,True,,False,,True,True,PASS,,,,863,0.1685270207681716,0.22353659720273064,0.24982892376493746,75;55;45,48;26;20,,57be288385c89780f5a7f02c5619d5b5229d0b3c40318c269083287feaebe481,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54035,True,True,True,True,True,,False,,True,True,PASS,,,,825,0.16694155051039686,0.2429587036897035,0.24958760895544418,113;50;44,77;24;21,,2b8fd9379358b0327c15ff762c08a279dda1aaeb21610b717e179bf2f426f127,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54036,True,True,True,True,True,,False,,True,True,PASS,,,,889,0.24959903475983797,0.2444517540032903,0.16576228188192327,37;39;45,17;17;28,,c5dbf07b5395dd1ffaa2883b12a359b3b693106ddf40b480e54582365de54027,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54037,False,False,False,False,False,fewer_than_three_geometrically_eligible_targets,True,fewer_than_three_geometrically_eligible_targets,False,False,FAIL,,,,,,,,,,,cde918084185b688da0f810178081f9187ee765046406ab1005137ecadd3b43a,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54038,True,True,True,True,True,,False,,True,True,PASS,,,,927,0.24974814958814023,0.1607860982656916,0.12979764574667033,45;54;55,17;29;40,,ec1b26368680fbf07406fdebc3aa861207f481cf7acf606a52aa43d7085043df,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54039,False,False,False,False,False,fewer_than_three_geometrically_eligible_targets,True,fewer_than_three_geometrically_eligible_targets,False,False,FAIL,,,,,,,,,,,8b06978a8ca08dab312d230db9abd30a352eb542ccc76ad129b81bc64106b495,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54040,True,True,True,True,True,,False,,True,True,PASS,,,,724,0.24965894212389014,0.2435866240027077,0.21878286133089725,71;79;64,46;36;30,,dce549acf3536c8a714b29458f56306276a4ffc31494e4c2afddf0542760afc2,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54041,False,False,False,False,False,fewer_than_three_geometrically_eligible_targets,True,fewer_than_three_geometrically_eligible_targets,False,False,FAIL,,,,,,,,,,,6f28b67694e9d500a788ccdcfd2693b45bc242788b73452e6db329ca4ae29321,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54042,False,False,False,False,False,fewer_than_three_geometrically_eligible_targets,True,fewer_than_three_geometrically_eligible_targets,False,False,FAIL,,,,,,,,,,,5b23f07304d56f959a005496543bd87c619ca141d4b3902e5219e1750eb3c0e8,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54043,True,True,True,True,True,,False,,True,True,PASS,,,,806,0.20660796644431811,0.2498770497624978,0.23234491710204255,94;77;57,54;35;33,,c545914562f1deb639863c69b6780ffb1fb1e3c949028a52256163e7f696775c,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54044,False,False,False,False,False,fewer_than_three_geometrically_eligible_targets,True,fewer_than_three_geometrically_eligible_targets,False,False,FAIL,,,,,,,,,,,8b4f3cf08adc2985e763a7ee1033aa65841e5836ae71ce1eac53c8ffb99deb76,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54045,True,True,True,True,True,,False,,True,True,PASS,,,,770,0.1909995496165178,0.24980651925291586,0.20698028724488177,97;63;102,67;33;54,,85f83e62c851e580c86c0989aba393e6540b12761339098dbee612af857afc89,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54046,True,True,True,True,True,,False,,True,True,PASS,,,,709,0.2455681865724718,0.24976528882456686,0.1451121072343805,97;81;91,63;45;108,,0dc8af6325ed484f82d8aa648f8c56da50a52e4d9e531008b3d7740cb1e3eacd,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54047,True,False,True,False,False,tracker_event:2:SPLIT@77,True,tracker_event:2:SPLIT@77,True,False,FAIL,FISSION,SPLIT,77,,,,,33;63;81,,32;62;77,c8e9bc91edda2c40d772965a481430d0b088d20178d6010c7cff3b6676adfdaf,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54048,True,False,True,False,False,tracker_event:0:SPLIT@69,True,tracker_event:0:SPLIT@69,True,False,FAIL,FISSION,SPLIT,69,,,,,76;103;71,,70;100;69,07cc7fff8b5f140a4ce024dcae1d9aaacb1b2bef6aac3d18b9dbb8ed6c6cf50a,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54049,True,True,True,True,True,,False,,True,True,PASS,,,,814,0.23204388777570772,0.21579402389398802,0.24989774560646322,58;33;52,28;18;24,,f52e86c001328328c826ee5b3b4b0e2b43382998e033f1c4c5c28ec27aedc4ff,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54050,True,False,True,False,False,tracker_event:2:SPLIT@439,True,tracker_event:2:SPLIT@439,True,False,FAIL,FISSION,SPLIT,439,,,,,70;60;93,,83;39;65,15751c9bb50bc852674ce682d0da8d0a3a531ec58e3fcbec9cf0324aa676ee52,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
